idx,rep,seed,run_timestamp,exit_code,miss_ratio,byte_miss_ratio,throughput_mqps,trace_file,cache_ratio,config
1,1,101,1063_tempgrid_noprior_20260203_001_r01,0,0.370611,0.334271,0.01,"data/TencentCBS/1063.oracleGeneral.zst",0.1,"LOH_RL_ALGO=SAC LOH_SCORE_USE_COMPOUND=1 LOH_FEATURE_LOG1P=1 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_SOFTMAX=1 LOH_SOFTMAX_TEMP=0.3 LOH_ACTION_BOUND=5.0 LOH_ACTION_SCALE=10.0 LOH_INCLUDE_CACHE_FEATURES=1 LOH_INCLUDE_HIT_MISS_FEATURES=1 LOH_MISS_RATIO_WEIGHT=1.0 LOH_REWARD_SCALE=1.0 RL_UPDATE_INTERVAL=200"
2,1,201,1063_tempgrid_noprior_20260203_002_r01,0,0.371181,0.335301,0.01,"data/TencentCBS/1063.oracleGeneral.zst",0.1,"LOH_RL_ALGO=SAC LOH_SCORE_USE_COMPOUND=1 LOH_FEATURE_LOG1P=1 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_SOFTMAX=1 LOH_SOFTMAX_TEMP=0.2 LOH_ACTION_BOUND=5.0 LOH_ACTION_SCALE=10.0 LOH_INCLUDE_CACHE_FEATURES=1 LOH_INCLUDE_HIT_MISS_FEATURES=1 LOH_MISS_RATIO_WEIGHT=1.0 LOH_REWARD_SCALE=1.0 RL_UPDATE_INTERVAL=200"
3,1,301,1063_tempgrid_noprior_20260203_003_r01,0,0.369438,0.333794,0.01,"data/TencentCBS/1063.oracleGeneral.zst",0.1,"LOH_RL_ALGO=SAC LOH_SCORE_USE_COMPOUND=1 LOH_FEATURE_LOG1P=1 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_SOFTMAX=1 LOH_SOFTMAX_TEMP=0.3 LOH_ACTION_BOUND=1.0 LOH_ACTION_SCALE=12.0 LOH_INCLUDE_CACHE_FEATURES=1 LOH_INCLUDE_HIT_MISS_FEATURES=1 LOH_MISS_RATIO_WEIGHT=1.0 LOH_REWARD_SCALE=1.0 RL_UPDATE_INTERVAL=200"
4,1,401,1063_tempgrid_noprior_20260203_004_r01,0,0.369191,0.333412,0.01,"data/TencentCBS/1063.oracleGeneral.zst",0.1,"LOH_RL_ALGO=SAC LOH_SCORE_USE_COMPOUND=1 LOH_FEATURE_LOG1P=1 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_SOFTMAX=1 LOH_SOFTMAX_TEMP=0.2 LOH_ACTION_BOUND=1.0 LOH_ACTION_SCALE=12.0 LOH_INCLUDE_CACHE_FEATURES=1 LOH_INCLUDE_HIT_MISS_FEATURES=1 LOH_MISS_RATIO_WEIGHT=1.0 LOH_REWARD_SCALE=1.0 RL_UPDATE_INTERVAL=200"
5,1,501,1063_tempgrid_noprior_20260203_005_r01,0,0.370258,0.334335,0.01,"data/TencentCBS/1063.oracleGeneral.zst",0.1,"LOH_RL_ALGO=SAC LOH_SCORE_USE_COMPOUND=1 LOH_FEATURE_LOG1P=1 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_SOFTMAX=1 LOH_SOFTMAX_TEMP=0.3 LOH_ACTION_BOUND=5.0 LOH_ACTION_SCALE=10.0 LOH_INCLUDE_CACHE_FEATURES=1 LOH_INCLUDE_HIT_MISS_FEATURES=1 LOH_MISS_RATIO_WEIGHT=1.0 LOH_REWARD_SCALE=1.0 RL_UPDATE_INTERVAL=125"
6,1,601,1063_tempgrid_noprior_20260203_006_r01,0,0.374768,0.338933,0.02,"data/TencentCBS/1063.oracleGeneral.zst",0.1,"LOH_RL_ALGO=SAC LOH_SCORE_USE_COMPOUND=1 LOH_FEATURE_LOG1P=1 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_SOFTMAX=1 LOH_SOFTMAX_TEMP=0.3 LOH_ACTION_BOUND=5.0 LOH_ACTION_SCALE=10.0 LOH_INCLUDE_CACHE_FEATURES=1 LOH_INCLUDE_HIT_MISS_FEATURES=1 LOH_MISS_RATIO_WEIGHT=1.0 LOH_REWARD_SCALE=1.0 RL_UPDATE_INTERVAL=500"
