# Algorithm Parameter MissRatio ByteMissRatio Throughput(MQPS)
LRU 0.01 0.1880 0.3989 3.24
LRU 0.1 0.0941 0.1657 3.05
ARC 0.01 0.1837 0.4007 3.05
ARC 0.1 0.1144 0.1477 2.83
LHD 0.01 0.1376 0.3332 1.35
LHD 0.1 0.0878 0.1344 1.38
SIEVE 0.01 0.1969 0.4051 3.30
SIEVE 0.1 0.1019 0.1592 3.09
S3FIFO 0.1 0.0958 0.1525 1.88
S3FIFO 0.01 0.1745 0.3870 1.67
lecar 0.01 0.1794 0.3931 2.10
GDSF 0.01 0.1798 0.3906 0.73
lecar 0.1 0.0937 0.1630 2.12
glcache 0.1 0.0908 0.1344 2.48
glcache 0.01 0.1751 0.3673 2.01
GDSF 0.1 0.0831 0.1083 0.47
cacheus 0.1 0.0927 0.1569 0.78
cacheus 0.01 0.1718 0.3806 0.75
wtinylfu 0.01 0.2323 0.4075 0.74
wtinylfu 0.1 0.1165 0.1360 0.87
3lcache 0.1 0.0860 0.1150 0.64
3lcache 0.01 0.1667 0.3757 0.54
lrb 0.1 0.0883 0.1232 0.03
lrb 0.01 0.1546 0.3708 0.02
