# Algorithm Parameter ElapsedTime(s) AvgCPU_Monitor(%) MaxCPU_Monitor(%) CumulativeCPU_Monitor(%*s)
LRU 0.01 11.639775341 90.40 138.00 578.54
LRU 0.1 11.613899526 90.04 118.00 576.28
ARC 0.01 12.331837150 88.62 141.00 620.34
ARC 0.1 12.034722788 92.84 140.00 631.34
LHD 0.01 20.985772792 89.82 121.00 1023.90
LHD 0.1 20.628045413 83.22 93.50 932.12
SIEVE 0.01 11.313613544 84.95 104.00 526.70
SIEVE 0.1 11.328682943 83.96 103.00 537.36
S3FIFO 0.1 16.839090173 89.06 138.00 819.34
S3FIFO 0.01 18.766562091 82.12 100.00 854.06
lecar 0.01 14.536527871 92.15 116.00 755.66
GDSF 0.01 35.873343344 86.06 114.00 1703.96
lecar 0.1 14.825613100 88.72 112.00 745.26
glcache 0.1 13.918225184 88.92 114.00 693.54
glcache 0.01 15.617777067 86.55 117.00 761.68
GDSF 0.1 52.916956428 85.80 94.30 2471.06
cacheus 0.1 34.611134633 89.46 136.00 1717.60
cacheus 0.01 36.418667614 85.97 93.20 1719.32
wtinylfu 0.01 47.739705017 89.96 151.00 2320.98
wtinylfu 0.1 44.926356328 88.32 102.00 2172.62
3lcache 0.1 38.849141665 86.01 111.00 1840.54
3lcache 0.01 45.804530276 84.87 91.50 2155.82
lrb 0.1 666.710559091 86.25 144.00 31223.90
lrb 0.01 1011.962554756 86.04 104.00 46702.40
