# Algorithm Parameter AvgMemory_Monitor(KB) PeakMemory_Monitor(KB)
LRU 0.01 227802 282432
LRU 0.1 228738 289728
ARC 0.01 225095 286080
ARC 0.1 254016 317184
LHD 0.01 296037 347328
LHD 0.1 314160 371712
SIEVE 0.01 227947 283008
SIEVE 0.1 237798 293184
S3FIFO 0.1 534691 697920
S3FIFO 0.01 526837 676800
lecar 0.01 245812 293568
GDSF 0.01 258861 286464
lecar 0.1 252041 309888
glcache 0.1 253839 322176
glcache 0.01 242932 291840
GDSF 0.1 312452 343872
cacheus 0.1 808088 950976
cacheus 0.01 767988 913728
wtinylfu 0.01 5911686 7785216
wtinylfu 0.1 6394608 8950848
3lcache 0.1 306759 339840
3lcache 0.01 284048 313728
lrb 0.1 668908 856316
lrb 0.01 657641 847252
