idx,n,miss_ratio_mean,miss_ratio_std,byte_miss_ratio_mean,byte_miss_ratio_std,throughput_mqps_mean,throughput_mqps_std,config
1,2,0.512450,0.004738,0.241800,0.001980,0.010000,0.000000,LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=TD3 LOH_USE_SOFTMAX=1 LOH_DUAL_CHANNEL=0 LOH_REWARD_MODE=absolute LOH_ACTION_BOUND=1.0 LOH_ACTION_SCALE=1.0 LOH_WEIGHT_EMA=0.0 LOH_WEIGHT_CLIP=0.0 TD3_ACTION_NOISE=0.0
2,2,0.509150,0.002758,0.241700,0.005657,0.010000,0.000000,LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=TD3 LOH_USE_SOFTMAX=0 LOH_DUAL_CHANNEL=0 LOH_REWARD_MODE=absolute LOH_ACTION_BOUND=1.0 LOH_ACTION_SCALE=1.0 LOH_WEIGHT_EMA=0.0 LOH_WEIGHT_CLIP=1.0 TD3_ACTION_NOISE=0.10
3,2,0.511500,0.003818,0.243250,0.019728,0.010000,0.000000,LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_USE_SOFTMAX=1 LOH_DUAL_CHANNEL=0 LOH_REWARD_MODE=absolute LOH_ACTION_BOUND=1.0 LOH_ACTION_SCALE=1.0 LOH_WEIGHT_EMA=0.0 LOH_WEIGHT_CLIP=0.0
4,2,0.505550,0.002475,0.247750,0.007142,0.010000,0.000000,LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_USE_SOFTMAX=0 LOH_DUAL_CHANNEL=0 LOH_REWARD_MODE=absolute LOH_ACTION_BOUND=1.0 LOH_ACTION_SCALE=1.0 LOH_WEIGHT_EMA=0.0 LOH_WEIGHT_CLIP=1.0
