# Algorithm Parameter AvgMemory_Monitor(KB) PeakMemory_Monitor(KB)
SIEVE 0.1 257440 401472
LRU 0.1 249603 336000
LRU 0.01 241701 311040
ARC 0.1 252355 401664
SIEVE 0.01 253892 368448
ARC 0.01 249191 368832
lecar 0.1 271564 431616
lecar 0.01 261008 385152
wtinylfu 0.01 308930 560832
S3FIFO 0.1 385815 801984
S3FIFO 0.01 393266 737856
LHD 0.01 303538 407040
LHD 0.1 391769 659712
cacheus 0.1 624996 1154496
cacheus 0.01 626764 1062912
GDSF 0.01 376588 516480
glcache 0.1 284215 437568
glcache 0.01 263180 343104
GDSF 0.1 500048 882432
wtinylfu 0.1 4879779 9001536
3lcache 0.01 329341 414720
3lcache 0.1 466292 664320
lrb 0.1 915932 1521308
lrb 0.01 912029 1475884
