# Algorithm Parameter MissRatio ByteMissRatio Throughput(MQPS)
SIEVE 0.1 0.3609 0.9181 2.68
LRU 0.1 0.3658 0.9216 2.25
LRU 0.01 0.4324 0.9536 2.33
ARC 0.1 0.3609 0.9181 2.49
SIEVE 0.01 0.3752 0.9235 2.12
ARC 0.01 0.3739 0.9230 2.10
lecar 0.1 0.3622 0.9201 1.72
lecar 0.01 0.4184 0.9464 1.56
wtinylfu 0.01 0.3753 0.9237 1.51
S3FIFO 0.1 0.3596 0.9057 1.25
S3FIFO 0.01 0.3725 0.9224 1.06
LHD 0.01 0.3674 0.9222 0.63
LHD 0.1 0.3600 0.9130 0.61
cacheus 0.1 0.3613 0.9182 0.66
cacheus 0.01 0.3720 0.9221 0.57
GDSF 0.01 0.3609 0.9185 0.38
glcache 0.1 0.3634 0.9188 1.37
glcache 0.01 0.3757 0.9263 1.20
GDSF 0.1 0.3564 0.9075 0.38
wtinylfu 0.1 0.3599 0.9050 0.53
3lcache 0.01 0.3646 0.9207 0.31
3lcache 0.1 0.3593 0.9101 0.32
lrb 0.1 0.3616 0.9146 0.02
lrb 0.01 0.3721 0.9236 0.01
