# Algorithm Parameter ElapsedTime(s) AvgCPU_Monitor(%) MaxCPU_Monitor(%) CumulativeCPU_Monitor(%*s)
SIEVE 0.1 27.179126162 86.46 102.00 1262.30
LRU 0.1 27.995966537 83.62 100.00 1254.32
LRU 0.01 28.998850813 88.11 125.00 1392.06
ARC 0.1 28.914988790 88.11 133.00 1356.92
SIEVE 0.01 30.935787922 86.97 136.00 1426.30
ARC 0.01 32.450931259 88.81 134.00 1527.60
lecar 0.1 33.530209987 86.61 143.00 1524.34
lecar 0.01 33.700327279 2544.86 218642.00 45298.48
wtinylfu 0.01 34.227687055 82.56 87.60 1486.10
S3FIFO 0.1 37.163815762 85.16 105.00 1652.06
S3FIFO 0.01 37.687031454 85.55 103.00 1693.80
LHD 0.01 45.951915756 91.31 163.00 2228.04
LHD 0.1 48.147318805 91.58 160.00 2381.12
cacheus 0.1 46.300505888 84.34 91.60 2040.98
cacheus 0.01 48.962657171 85.89 112.00 2250.40
GDSF 0.01 59.767176523 89.47 159.00 2898.68
glcache 0.1 30.597625166 84.90 99.00 1426.34
glcache 0.01 33.389048506 89.38 107.00 1644.58
GDSF 0.1 63.038761552 88.86 167.00 3021.12
wtinylfu 0.1 66.853733855 89.96 139.00 3220.64
3lcache 0.01 65.141653397 88.86 108.00 3145.52
3lcache 0.1 64.385622400 87.08 107.00 3047.82
lrb 0.1 906.356096095 86.90 147.00 42564.90
lrb 0.01 1402.112311270 86.36 86.90 64719.46
