# Algorithm Parameter ElapsedTime(s) AvgCPU_Monitor(%) MaxCPU_Monitor(%) CumulativeCPU_Monitor(%*s)
LRU 0.01 9.821625114 100.04 159.00 740.30
LRU 0.1 9.913758117 96.86 154.00 716.80
LHD 0.01 23.142040817 96.32 131.00 1656.66
LHD 0.1 19.884143328 102.89 186.00 1522.76
GDSF 0.01 28.645932788 99.96 159.00 2119.16
GDSF 0.1 40.980704906 99.39 135.00 3021.54
ARC 0.01 9.812248158 89.82 106.00 664.64
ARC 0.1 9.566947160 100.71 160.00 725.08
SIEVE 0.01 9.008113039 103.69 187.00 705.12
SIEVE 0.1 9.738796151 98.00 154.00 725.20
S3FIFO 0.01 16.844113350 98.51 156.00 1241.28
S3FIFO 0.1 14.212762949 96.48 131.00 1022.70
wtinylfu 0.01 39.918906342 100.64 156.00 2978.84
wtinylfu 0.1 13.379922845 98.17 154.00 981.72
lecar 0.01 12.872153591 103.25 184.00 991.16
lecar 0.1 12.741464889 96.10 128.00 922.52
cacheus 0.01 33.381954343 98.40 131.00 2440.20
cacheus 0.1 30.003059550 101.00 159.00 2242.22
glcache 0.01 13.843025884 96.76 132.00 1006.26
glcache 0.1 12.270036083 92.78 128.00 853.62
3lcache 0.01 45.333223400 99.96 160.00 3338.72
3lcache 0.1 38.024248540 99.94 155.00 2818.28
