# Algorithm Parameter AvgMemory_Monitor(KB) PeakMemory_Monitor(KB)
LRU 0.01 123257 158208
LRU 0.1 133712 178176
LHD 0.01 204160 231168
LHD 0.1 268781 333312
GDSF 0.01 155611 169216
GDSF 0.1 233321 267648
ARC 0.01 124343 160512
ARC 0.1 146336 194816
SIEVE 0.01 116280 156416
SIEVE 0.1 127945 175104
S3FIFO 0.01 442396 553856
S3FIFO 0.1 459030 586240
wtinylfu 0.01 7395011 8817248
wtinylfu 0.1 334848 444928
lecar 0.01 178448 277248
lecar 0.1 189541 281344
cacheus 0.01 751822 872448
cacheus 0.1 780517 932608
glcache 0.01 143655 173952
glcache 0.1 172967 247296
3lcache 0.01 181028 198272
3lcache 0.1 234565 275968
