# Algorithm Parameter MissRatio ByteMissRatio Throughput(MQPS)
SIEVE 0.01 0.6775 0.7338 2.90
SIEVE 0.1 0.3488 0.3202 2.49
LRU 0.01 0.8028 0.8282 2.26
LRU 0.1 0.2618 0.2209 2.19
ARC 0.1 0.2596 0.2186 2.01
lecar 0.1 0.2583 0.2161 1.71
ARC 0.01 0.8017 0.8268 1.63
lecar 0.01 0.7975 0.8228 1.59
S3FIFO 0.1 0.2601 0.2158 1.37
S3FIFO 0.01 0.6541 0.6712 1.17
glcache 0.1 0.0819 0.0927 1.61
glcache 0.01 0.5524 0.6705 1.21
cacheus 0.1 0.2537 0.2121 0.63
wtinylfu 0.1 0.2556 0.2348 0.61
LHD 0.1 0.1746 0.2744 0.59
wtinylfu 0.01 0.6201 0.6844 0.59
GDSF 0.01 0.4281 0.4806 0.51
cacheus 0.01 0.7418 0.7654 0.51
LHD 0.01 0.5341 0.7669 0.39
3lcache 0.1 0.2500 0.2057 0.42
GDSF 0.1 0.0548 0.0588 0.31
3lcache 0.01 0.6535 0.6776 0.28
