# Algorithm Parameter AvgMemory_Monitor(KB) PeakMemory_Monitor(KB)
SIEVE 0.01 250033 284544
SIEVE 0.1 260084 293568
LRU 0.01 255469 283584
LRU 0.1 263372 295680
ARC 0.1 310838 377472
lecar 0.1 323139 400320
ARC 0.01 330624 380928
lecar 0.01 295969 328896
S3FIFO 0.1 625576 699072
S3FIFO 0.01 613377 678336
glcache 0.1 328577 383808
glcache 0.01 285796 305856
cacheus 0.1 933293 1032768
wtinylfu 0.1 8361544 8955948
LHD 0.1 402880 426816
wtinylfu 0.01 8325402 8941548
GDSF 0.01 287285 297408
cacheus 0.01 898050 953280
LHD 0.01 349752 360384
3lcache 0.1 348585 365948
GDSF 0.1 406792 444480
3lcache 0.01 306948 315384
