step,w0,w1,w2,w3,w4,w5,w6
76,0.17193303,0.19852428,0.23453286,0.06649981,0.06977877,0.2587313,0.0
77,0.23369546,0.21041144,0.12412266,0.15023595,0.16955131,0.11198308,0.0
78,0.12301555,0.16677983,0.27105802,0.07794537,0.30989626,0.05130496,0.0
79,0.08995789,0.26099145,0.18517587,0.04960347,0.28103498,0.13323638,0.0
80,0.10321376,0.21305622,0.17249067,0.10386569,0.15560664,0.251767,0.0
81,0.2921315,0.2391814,0.09084532,0.12434988,0.11099524,0.14249673,0.0
82,0.41021654,0.07364215,0.07892345,0.06858809,0.08569628,0.2829335,0.0
83,0.06208873,0.15080902,0.07458144,0.18428037,0.40489852,0.12334196,0.0
84,0.19806069,0.15926188,0.06966046,0.16518696,0.22163709,0.18619291,0.0
85,0.0581401,0.2609574,0.04847736,0.29577458,0.22018525,0.11646529,0.0
86,0.05236633,0.2413854,0.22837166,0.16955628,0.04349272,0.26482755,0.0
87,0.12875573,0.07267466,0.22805238,0.04667179,0.18740717,0.33643827,0.0
88,0.29807195,0.19484277,0.13733132,0.11206287,0.10975956,0.14793158,0.0
89,0.13867025,0.1942511,0.13631727,0.12447471,0.23717949,0.1691072,0.0
90,0.1012329,0.08542515,0.34969318,0.04773526,0.32351536,0.09239818,0.0
91,0.08539052,0.05722297,0.30265158,0.05862252,0.12773517,0.36837718,0.0
92,0.19723569,0.04712521,0.11207499,0.10747698,0.24624498,0.2898421,0.0
93,0.20824055,0.27898982,0.08226731,0.1453754,0.18874083,0.09638605,0.0
94,0.06719113,0.18870154,0.28056982,0.3140249,0.09216968,0.05734291,0.0
95,0.15614519,0.07930115,0.12397628,0.17543288,0.08344579,0.3816988,0.0
96,0.18830122,0.08032438,0.19906403,0.23671597,0.1319079,0.16368653,0.0
97,0.10587794,0.30520013,0.07817659,0.07837068,0.36421347,0.0681612,0.0
98,0.20369703,0.26678595,0.18052803,0.11954768,0.18016197,0.04927927,0.0
99,0.11128783,0.32691947,0.0787452,0.18040083,0.21040075,0.09224591,0.0
100,0.07075907,0.25640106,0.09070683,0.11715124,0.21312173,0.2518602,0.0
101,0.28859815,0.11814339,0.17765357,0.06256489,0.07395482,0.27908516,0.0
102,0.2748876,0.06223126,0.06397937,0.18619852,0.2381831,0.17452018,0.0
103,0.135956,0.0816533,0.20388919,0.10535346,0.10825975,0.36488828,0.0
104,0.06160454,0.084529,0.2917906,0.35929763,0.07257996,0.13019828,0.0
105,0.17971449,0.10187902,0.09283793,0.2818178,0.11586142,0.22788931,0.0
106,0.1146795,0.2601793,0.10514528,0.09887937,0.18548924,0.2356272,0.0
107,0.13128753,0.21220966,0.12412339,0.0757289,0.36409956,0.092551,0.0
108,0.14592211,0.1358838,0.12741612,0.23152906,0.2466825,0.11256637,0.0
109,0.30333832,0.06939538,0.05129275,0.07974327,0.24429287,0.25193742,0.0
110,0.10999963,0.21546605,0.2385019,0.20300077,0.09990235,0.13312934,0.0
111,0.2569972,0.37365118,0.10675854,0.11041379,0.0645612,0.08761819,0.0
112,0.06731555,0.13650413,0.2104917,0.12743801,0.13060018,0.32765043,0.0
113,0.2711526,0.2057247,0.15721877,0.04263088,0.0548778,0.2683953,0.0
114,0.18499409,0.24170695,0.10871397,0.1776589,0.2288847,0.05804145,0.0
115,0.16062705,0.15110937,0.11145095,0.12173095,0.3019889,0.1530927,0.0
116,0.08256397,0.27756405,0.12107477,0.33607125,0.11290313,0.06982287,0.0
117,0.3113043,0.05593704,0.07559121,0.10635029,0.09862216,0.352195,0.0
118,0.05748116,0.27320722,0.0682387,0.23252985,0.1451666,0.22337654,0.0
