trace,mode,include_hit_miss,include_cache,include_candidate,include_topk,include_avgtopk,include_request,rl_state_use_missratio,miss_ratio,byte_miss_ratio,throughput_mqps,exit_code,run_timestamp,base_config
1063,"compound=0,irt=0",0,0,1,0,1,1,0,0.367165,0.350814,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c012_002_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",1,1,0,0,1,1,0,0.367201,0.35062,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c042_002_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",1,1,0,0,0,0,1,0.367214,0.350254,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c037_001_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",1,1,1,1,0,1,1,0.367241,0.349986,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c047_001_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",1,0,0,0,1,1,1,0.367397,0.351364,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c030_001_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,1,0,1,0,1,1,0.367418,0.351316,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c017_001_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,0,0,1,0,1,0,0.367482,0.351647,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c005_002_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",1,1,0,1,0,0,1,0.367528,0.351121,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c038_001_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",1,0,1,1,0,1,0,0.36759,0.34972,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c035_002_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",1,1,0,1,0,1,0,0.367604,0.350007,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c041_002_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
