trace,mode,include_hit_miss,include_cache,include_candidate,include_topk,include_avgtopk,include_request,rl_state_use_missratio,miss_ratio,byte_miss_ratio,throughput_mqps,exit_code,run_timestamp,base_config
1063,"compound=0,irt=0",0,0,1,0,0,1,0,0.369048,0.351902,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c010_002_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,0,1,1,0,1,1,0.368580,0.352580,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c011_001_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,0,1,1,0,1,0,0.367823,0.350550,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c011_002_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,0,1,0,1,1,1,0.369469,0.351058,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c012_001_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,0,1,0,1,1,0,0.367165,0.350814,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c012_002_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,1,0,0,0,0,1,0.366809,0.350698,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c013_001_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,1,0,0,0,0,0,0.368645,0.350635,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c013_002_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,1,0,1,0,0,1,0.371570,0.354599,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c014_001_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,1,0,1,0,0,0,0.371053,0.356323,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c014_002_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,1,0,0,1,0,1,0.369425,0.352900,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c015_001_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,1,0,0,1,0,0,0.370575,0.352572,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c015_002_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,1,0,0,0,1,1,0.367565,0.350002,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c016_001_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,1,0,0,0,1,0,0.366626,0.349678,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c016_002_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,1,0,1,0,1,1,0.367418,0.351316,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c017_001_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,1,0,1,0,1,0,0.368381,0.349867,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c017_002_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,1,0,0,1,1,1,0.365101,0.349418,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c018_001_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,1,0,0,1,1,0,0.369500,0.353122,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c018_002_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,1,1,0,0,0,1,0.367244,0.350383,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c019_001_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,1,1,0,0,0,0,0.366695,0.349554,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c019_002_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,1,1,1,0,0,1,0.368591,0.353472,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c020_001_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,1,1,1,0,0,0,0.371392,0.353563,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c020_002_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,1,1,0,1,0,1,0.370920,0.354866,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c021_001_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,1,1,0,1,0,0,0.369194,0.351794,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c021_002_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,1,1,0,0,1,1,0.366988,0.351230,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c022_001_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,1,1,0,0,1,0,0.368143,0.350819,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c022_002_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
