variant,wait_mode,status,rc,mr,bmr,mqps,log_path
log1p,nonblocked,ok,0,0.283864,0.329181,0.13,tmp/penalty_ablation_pair_0316/log1p.log
log1p_blocked,blocked,ok,0,0.282117,0.327932,0.03,tmp/penalty_ablation_pair_0316/log1p_blocked.log
