# Algorithm Parameter AvgMemory_Monitor(KB) PeakMemory_Monitor(KB)
LRU 0.01 247176 285120
LRU 0.1 259910 301440
LHD 0.1 419108 467712
LHD 0.01 338075 357312
GDSF 0.01 290030 306432
ARC 0.1 315146 426240
ARC 0.01 312934 428352
SIEVE 0.01 245002 283200
SIEVE 0.1 258432 301056
S3FIFO 0.01 583458 679104
lecar 0.1 290207 353280
lecar 0.01 269846 307584
wtinylfu 0.1 475502 564480
S3FIFO 0.1 583157 704256
GDSF 0.1 429666 476928
glcache 0.1 324507 407232
glcache 0.01 281467 316224
wtinylfu 0.01 7837214 8943552
cacheus 0.01 850630 954048
cacheus 0.1 882029 998400
3lcache 0.1 342941 374636
3lcache 0.01 299419 312768
