# Algorithm Parameter ElapsedTime(s) AvgCPU_Monitor(%) MaxCPU_Monitor(%) CumulativeCPU_Monitor(%*s)
LRU 0.01 39.048795223 98.00 125.00 2469.48
LRU 0.1 33.489882609 97.76 142.00 2072.44
LHD 0.1 98.597093055 97.39 101.00 6233.00
LHD 0.01 119.109334049 99.44 133.00 7716.56
GDSF 0.01 116.112272197 97.96 101.00 7425.02
ARC 0.1 37.649064926 101.53 172.00 2477.38
ARC 0.01 43.318643792 100.00 160.00 2800.14
SIEVE 0.01 31.843503571 95.42 107.00 1908.38
SIEVE 0.1 37.177866820 95.46 109.00 2233.80
S3FIFO 0.01 59.142677944 99.03 133.00 3703.82
lecar 0.1 40.056625907 95.99 106.00 2495.64
lecar 0.01 46.634942498 101.12 175.00 3053.76
wtinylfu 0.1 53.636978249 95.65 100.00 3309.66
S3FIFO 0.1 61.754075585 100.18 154.00 3947.00
GDSF 0.1 189.023264514 98.90 128.00 12125.32
glcache 0.1 46.150459306 99.67 137.00 2989.98
glcache 0.01 58.156950615 97.39 111.00 3681.32
wtinylfu 0.01 133.767492760 97.83 100.00 8472.42
cacheus 0.01 121.258196595 97.41 100.00 7695.22
cacheus 0.1 114.832127968 97.42 100.00 7306.72
3lcache 0.1 181.820822917 98.26 102.00 11889.76
3lcache 0.01 225.562596495 99.30 131.00 14935.32
