# Algorithm Parameter MissRatio ByteMissRatio Throughput(MQPS)
LRU 0.01 0.5166 0.6966 2.65
LRU 0.1 0.2877 0.3365 3.01
LHD 0.1 0.2031 0.3563 0.78
LHD 0.01 0.4352 0.7517 0.62
GDSF 0.01 0.3799 0.4820 0.65
ARC 0.1 0.2900 0.3333 2.58
ARC 0.01 0.5170 0.6866 2.26
SIEVE 0.01 0.5467 0.6617 3.31
SIEVE 0.1 0.3090 0.3325 2.79
S3FIFO 0.01 0.5240 0.6069 1.41
lecar 0.1 0.2811 0.3270 2.29
lecar 0.01 0.5133 0.6800 2.00
wtinylfu 0.1 0.2564 0.2886 1.64
S3FIFO 0.1 0.2793 0.3126 1.44
GDSF 0.1 0.0989 0.1017 0.39
glcache 0.1 0.1190 0.1467 2.02
glcache 0.01 0.4553 0.6128 1.49
wtinylfu 0.01 0.5247 0.6215 0.60
cacheus 0.01 0.5086 0.6470 0.63
cacheus 0.1 0.2824 0.3251 0.67
3lcache 0.1 0.2925 0.3178 0.40
3lcache 0.01 0.5384 0.6102 0.32
