step,w0,w1,w2,w3,w4,w5,w6
76,0.08868857,0.06487129,0.05611441,0.08091255,0.34347168,0.3659415,0.0
77,0.3221085,0.06302688,0.2066757,0.17618412,0.07382248,0.15818235,0.0
78,0.16682647,0.08968987,0.21648674,0.2074671,0.21350048,0.10602935,0.0
79,0.1573407,0.19787413,0.22598004,0.14039855,0.1297169,0.14868969,0.0
80,0.18827672,0.09622025,0.04515604,0.15361655,0.25310698,0.26362345,0.0
81,0.19121107,0.11111797,0.09053197,0.08267823,0.38727507,0.1371857,0.0
82,0.12018622,0.25383002,0.16614702,0.18486191,0.15718569,0.11778907,0.0
83,0.07530601,0.13397859,0.15025336,0.09837971,0.25632802,0.28575435,0.0
84,0.20098345,0.3196747,0.15548357,0.05523891,0.08703404,0.18158536,0.0
85,0.1640071,0.31001025,0.1070972,0.05775402,0.16245978,0.19867168,0.0
86,0.12342695,0.32803255,0.14561711,0.09374628,0.1121854,0.19699162,0.0
87,0.19184454,0.10811088,0.16243139,0.06616419,0.08316982,0.3882792,0.0
88,0.13966373,0.15934749,0.3927448,0.10725124,0.13035344,0.0706393,0.0
89,0.11643931,0.10974776,0.29119343,0.33427292,0.0547213,0.09362534,0.0
90,0.22552396,0.05549027,0.27427718,0.07669134,0.05552385,0.31249344,0.0
91,0.09882896,0.15073948,0.08148827,0.32062972,0.16407979,0.18423383,0.0
92,0.07628325,0.26699603,0.06753943,0.13745683,0.12402886,0.32769558,0.0
93,0.2052346,0.08814624,0.3722133,0.10703121,0.10601967,0.12135489,0.0
94,0.24204405,0.2460213,0.22196165,0.17566688,0.07239543,0.04191067,0.0
95,0.22861187,0.20578685,0.250863,0.07177429,0.11052344,0.13244054,0.0
96,0.30543688,0.1157054,0.12029041,0.12581089,0.18456547,0.1481909,0.0
97,0.0403826,0.25346217,0.13773948,0.22130556,0.25510457,0.09200559,0.0
98,0.16658638,0.17752898,0.17023064,0.18406324,0.11873624,0.1828545,0.0
99,0.07208062,0.35704738,0.27569854,0.15473223,0.06183002,0.0786112,0.0
100,0.17531766,0.39152575,0.07844846,0.16066954,0.07306752,0.12097105,0.0
101,0.17244926,0.23142505,0.10296846,0.0900839,0.14521395,0.25785938,0.0
102,0.10484701,0.25691807,0.29998133,0.06098115,0.18363084,0.09364165,0.0
103,0.24303605,0.13671172,0.12323361,0.3094651,0.0696796,0.11787387,0.0
104,0.17291251,0.41514355,0.07911465,0.09194449,0.09503401,0.14585072,0.0
105,0.15107004,0.31724632,0.0567563,0.23081338,0.12800884,0.11610509,0.0
106,0.10189576,0.22851229,0.07551452,0.25131676,0.21542312,0.12733753,0.0
107,0.3837309,0.09806119,0.19597135,0.1298494,0.08813308,0.10425419,0.0
108,0.1034621,0.09908402,0.30216578,0.08615526,0.24867007,0.16046274,0.0
109,0.09278261,0.22393596,0.0788366,0.13706312,0.29737523,0.17000651,0.0
110,0.29109704,0.08065054,0.18780132,0.0866913,0.15761282,0.19614701,0.0
111,0.09671301,0.18117039,0.10062461,0.35571957,0.12398314,0.14178929,0.0
112,0.20516908,0.0511622,0.24981712,0.08457191,0.13690786,0.27237186,0.0
113,0.06647755,0.07287508,0.37646845,0.05968153,0.36172125,0.06277609,0.0
114,0.13995172,0.15464655,0.1965786,0.2756784,0.05404224,0.17910245,0.0
115,0.11958845,0.0922174,0.07133946,0.30286723,0.16337505,0.25061235,0.0
116,0.29341844,0.13246438,0.15280396,0.13813971,0.16923678,0.11393666,0.0
117,0.21833931,0.14168629,0.1059429,0.20052475,0.2541959,0.0793108,0.0
118,0.13277863,0.12888439,0.19664659,0.1718373,0.30351305,0.06634001,0.0
119,0.08855201,0.25886807,0.04611536,0.19281271,0.17420946,0.23944242,0.0
120,0.38856703,0.16195613,0.19656113,0.06456599,0.1175748,0.07077497,0.0
121,0.09217127,0.11652,0.1151335,0.35175443,0.2515619,0.07285891,0.0
122,0.19615105,0.42907226,0.07616032,0.07420307,0.12083592,0.10357735,0.0
123,0.11983902,0.09874605,0.13145638,0.37468228,0.17911558,0.09616069,0.0
124,0.12358345,0.12691994,0.16353999,0.18694055,0.19417231,0.20484369,0.0
125,0.05860819,0.11128383,0.31953233,0.29323623,0.0753714,0.14196803,0.0
126,0.06294765,0.18622951,0.1526695,0.3815777,0.10728443,0.10929114,0.0
127,0.1902903,0.11232928,0.34917983,0.09859023,0.09972371,0.1498867,0.0
128,0.06936354,0.35863143,0.07091616,0.35205558,0.07728341,0.07174988,0.0
129,0.13143712,0.12179577,0.10390546,0.38398832,0.12594627,0.13292708,0.0
130,0.06664442,0.10547243,0.10063215,0.3405934,0.23829915,0.14835855,0.0
131,0.23020379,0.13199222,0.08247098,0.1952413,0.17613547,0.18395619,0.0
132,0.2902974,0.2441065,0.1552611,0.18420486,0.04787668,0.07825349,0.0
133,0.09737367,0.11129662,0.15325536,0.36831844,0.18886273,0.08089316,0.0
134,0.16490607,0.20347111,0.22168276,0.08646121,0.07824665,0.24523218,0.0
135,0.17793949,0.32237846,0.12406377,0.11490393,0.08031426,0.1804002,0.0
136,0.18868417,0.07045677,0.2547591,0.19745544,0.18715735,0.10148719,0.0
137,0.30121052,0.11620643,0.33969063,0.05219702,0.13386382,0.05683161,0.0
138,0.3261521,0.28261304,0.13246797,0.08758302,0.0592057,0.11197814,0.0
139,0.09518921,0.08398512,0.42187077,0.15779504,0.09834389,0.14281604,0.0
140,0.1051948,0.1515895,0.30275834,0.23078945,0.13792376,0.07174417,0.0
141,0.06561675,0.20313966,0.30147028,0.09285513,0.06955055,0.2673676,0.0
