# Baseline 算法汇总（7 groups，含 GDSF）

使用 docs/20260423-ablation-per-group/cmaes版本LOH-autocompound-cache0001-autocompound-cache0001 的表2/表3(best_LOH) 与 表4/表5(baseline) 生成。

**best_LOH 策略**: 各 group 文档表2/表3中 best_LOH 列（20260422 auto_compound 全局最优选取）。

## 数据来源清单

- best_LOH MR: 各 group 文档表2的 best_LOH 列
- best_LOH BMR: 各 group 文档表3的 best_LOH 列
- 其他算法 MR: 各 group 文档表4（不含 best_LOH 列）
- 其他算法 BMR: 各 group 文档表5（不含 best_LOH 列）
- 加权类指标: 各 group 文档表1 的 n_req 加权

## MR 平均值

| group | n_traces | ARC | Cacheus | GLCache | LHD | LRU | LeCaR | S3FIFO-0.1000-2 | Sieve | WTinyLFU-w0.01-SLRU | LRB-BMR | ThreeLCache-BMR | best_LOH |
| wiki | 3 | 0.751500 | 0.757933 | 0.863800 | 0.816133 | 0.812100 | 0.769067 | 0.712633 | 0.718567 | 0.730900 | 0.702333 | 0.701467 | **0.727959** |
| **coverage** | - | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5874/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5874/5874 |
| **avg(7 groups)** | - | 0.607426 | 0.603095 | 0.667093 | 0.651837 | 0.626674 | 0.607334 | 0.590037 | 0.601792 | 0.639260 | 0.593122 | 0.585289 | 0.599046 |

## BMR 标准差

| group | n_traces | ARC | Cacheus | GLCache | LHD | LRU | LeCaR | S3FIFO-0.1000-2 | Sieve | WTinyLFU-w0.01-SLRU | LRB-BMR | ThreeLCache-BMR | best_LOH |
|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| alibabaBlock | 1000 | 0.188370 | 0.186221 | 0.170627 | 0.169511 | 0.177515 | 0.184243 | 0.186199 | 0.180443 | 0.152297 | 0.185703 | 0.190684 | 0.183184 |
| cloudphysics | 106 | 0.189032 | 0.188875 | 0.175766 | 0.178907 | 0.185149 | 0.188377 | 0.188481 | 0.189904 | 0.168980 | 0.186518 | 0.193656 | 0.155386 |
| metaCDN | 3 | 0.031363 | 0.029815 | 0.027123 | 0.026684 | 0.029571 | 0.029618 | 0.030013 | 0.030010 | 0.033412 | 0.031742 | 0.030039 | 0.022953 |
| metaKV | 5 | 0.064226 | 0.069451 | 0.077183 | 0.092743 | 0.072601 | 0.071693 | 0.064467 | 0.064802 | 0.079238 | 0.062325 | 0.062444 | 0.000000 |
| tencentBlock | 4755 | 0.189447 | 0.181856 | 0.155843 | 0.157097 | 0.184104 | 0.183247 | 0.182776 | 0.180344 | 0.150775 | 0.185312 | 0.186147 | 0.173933 |
| tencentPhoto | 2 | 0.002400 | 0.002600 | 0.002300 | 0.003300 | 0.002350 | 0.002800 | 0.003050 | 0.002800 | 0.004650 | 0.002750 | 0.002750 | 0.002145 |
| wiki | 3 | 0.018623 | 0.022259 | 0.018705 | 0.006319 | 0.024696 | 0.021947 | 0.022394 | 0.020821 | 0.023519 | 0.020266 | 0.022958 | 0.021808 |
| **coverage** | - | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5874/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5874/5874 |
| **avg(7 groups)** | - | 0.097637 | 0.097297 | 0.089650 | 0.090652 | 0.096569 | 0.097418 | 0.096769 | 0.095589 | 0.087553 | 0.096374 | 0.098383 | 0.099350 |

## MR 按请求数加权平均值

| group | n_traces | ARC | Cacheus | GLCache | LHD | LRU | LeCaR | S3FIFO-0.1000-2 | Sieve | WTinyLFU-w0.01-SLRU | LRB-BMR | ThreeLCache-BMR | best_LOH |
|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| alibabaBlock | 1000 | 0.608038 | 0.602064 | 0.558817 | 0.532774 | 0.625923 | 0.614846 | 0.600113 | 0.628573 | 0.618484 | 0.610864 | 0.576169 | 0.183184 |
| cloudphysics | 106 | 0.751421 | 0.737855 | 0.752496 | 0.714440 | 0.757699 | 0.748902 | 0.733331 | 0.752954 | 0.749745 | 0.741413 | 0.723337 | 0.155386 |
| metaCDN | 3 | 0.613205 | 0.592477 | 0.505372 | 0.523684 | 0.590142 | 0.590243 | 0.586745 | 0.595497 | 0.547034 | 0.573321 | 0.589789 | 0.022953 |
| metaKV | 5 | 0.219448 | 0.223484 | 0.155533 | 0.140659 | 0.233979 | 0.195892 | 0.205339 | 0.212747 | 0.196345 | 0.192884 | 0.192076 | 0.000000 |
| tencentBlock | 4755 | 0.624600 | 0.601455 | 0.607586 | 0.540649 | 0.649351 | 0.622561 | 0.582634 | 0.607453 | 0.613195 | 0.604594 | 0.575020 | 0.173933 |
| tencentPhoto | 2 | 0.693918 | 0.675863 | 0.751659 | 0.613537 | 0.702573 | 0.682456 | 0.667343 | 0.690005 | 0.691780 | 0.673050 | 0.660453 | 0.002145 |
| wiki | 3 | 0.431225 | 0.473206 | 0.384633 | 0.312481 | 0.551914 | 0.487954 | 0.414140 | 0.423064 | 0.409182 | 0.393027 | 0.397231 | 0.021808 |
| **coverage** | - | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5874/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5874/5874 |
| **avg(7 groups)** | - | 0.563122 | 0.558058 | 0.530871 | 0.482603 | 0.587368 | 0.563265 | 0.541378 | 0.558613 | 0.546538 | 0.541308 | 0.530582 | 0.456948 |

## MR 按请求数加权标准差

| group | n_traces | ARC | Cacheus | GLCache | LHD | LRU | LeCaR | S3FIFO-0.1000-2 | Sieve | WTinyLFU-w0.01-SLRU | LRB-BMR | ThreeLCache-BMR | best_LOH |
|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| alibabaBlock | 1000 | 0.319469 | 0.318310 | 0.305221 | 0.301471 | 0.317645 | 0.320957 | 0.319520 | 0.320773 | 0.298404 | 0.314612 | 0.315103 | 0.183184 |
| cloudphysics | 106 | 0.233572 | 0.233195 | 0.236009 | 0.234659 | 0.228966 | 0.233008 | 0.237709 | 0.239423 | 0.236019 | 0.232108 | 0.239875 | 0.155386 |
| metaCDN | 3 | 0.091919 | 0.085626 | 0.071410 | 0.067829 | 0.084405 | 0.084332 | 0.087574 | 0.086434 | 0.095215 | 0.084536 | 0.087124 | 0.022953 |
| metaKV | 5 | 0.038554 | 0.038830 | 0.036795 | 0.035310 | 0.037308 | 0.028900 | 0.036835 | 0.037007 | 0.036064 | 0.038295 | 0.038000 | 0.000000 |
| tencentBlock | 4755 | 0.264536 | 0.247826 | 0.232459 | 0.229864 | 0.249618 | 0.252757 | 0.246320 | 0.247913 | 0.243708 | 0.262285 | 0.254978 | 0.173933 |
| tencentPhoto | 2 | 0.002499 | 0.002649 | 0.007896 | 0.003448 | 0.002349 | 0.002848 | 0.003248 | 0.002898 | 0.000600 | 0.003048 | 0.002948 | 0.002145 |
| wiki | 3 | 0.107968 | 0.098513 | 0.115331 | 0.104263 | 0.092796 | 0.100892 | 0.097374 | 0.103078 | 0.096359 | 0.096293 | 0.096618 | 0.021808 |
| **coverage** | - | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5874/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5874/5874 |
| **avg(7 groups)** | - | 0.151217 | 0.146421 | 0.143588 | 0.139549 | 0.144727 | 0.146242 | 0.146940 | 0.148218 | 0.143767 | 0.147311 | 0.147806 | 0.138875 |

## BMR 按请求数加权平均值

| group | n_traces | ARC | Cacheus | GLCache | LHD | LRU | LeCaR | S3FIFO-0.1000-2 | Sieve | WTinyLFU-w0.01-SLRU | LRB-BMR | ThreeLCache-BMR | best_LOH |
|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| alibabaBlock | 1000 | 0.744739 | 0.742216 | 0.726475 | 0.722863 | 0.761301 | 0.754646 | 0.738412 | 0.755358 | 0.748700 | 0.731374 | 0.721418 | 0.183184 |
| cloudphysics | 106 | 0.829348 | 0.817770 | 0.857236 | 0.844055 | 0.833386 | 0.827079 | 0.814645 | 0.829830 | 0.842463 | 0.819154 | 0.804061 | 0.155386 |
| metaCDN | 3 | 0.278458 | 0.273155 | 0.262690 | 0.270719 | 0.273044 | 0.273024 | 0.271187 | 0.273583 | 0.302150 | 0.274424 | 0.270829 | 0.022953 |
| metaKV | 5 | 0.284205 | 0.279508 | 0.332864 | 0.387604 | 0.289611 | 0.226866 | 0.267141 | 0.274221 | 0.293938 | 0.271203 | 0.265972 | 0.000000 |
| tencentBlock | 4755 | 0.747912 | 0.730198 | 0.767711 | 0.751211 | 0.765606 | 0.746269 | 0.707900 | 0.730320 | 0.752074 | 0.712148 | 0.694508 | 0.173933 |
| tencentPhoto | 2 | 0.647721 | 0.632415 | 0.789875 | 0.725392 | 0.659773 | 0.638708 | 0.621650 | 0.641208 | 0.668197 | 0.623660 | 0.614160 | 0.002145 |
| wiki | 3 | 0.740965 | 0.768795 | 0.852663 | 0.814412 | 0.824282 | 0.780345 | 0.723962 | 0.730275 | 0.745122 | 0.711585 | 0.713214 | 0.021808 |
| **coverage** | - | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5874/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5874/5874 |
| **avg(7 groups)** | - | 0.610478 | 0.606294 | 0.655645 | 0.645179 | 0.629572 | 0.606705 | 0.592128 | 0.604971 | 0.621806 | 0.591935 | 0.583452 | 0.585574 |

## BMR 按请求数加权标准差

| group | n_traces | ARC | Cacheus | GLCache | LHD | LRU | LeCaR | S3FIFO-0.1000-2 | Sieve | WTinyLFU-w0.01-SLRU | LRB-BMR | ThreeLCache-BMR | best_LOH |
|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| alibabaBlock | 1000 | 0.275052 | 0.272872 | 0.258767 | 0.260975 | 0.273798 | 0.276220 | 0.275982 | 0.272716 | 0.261299 | 0.270107 | 0.271186 | 0.183184 |
| cloudphysics | 106 | 0.189691 | 0.190830 | 0.179455 | 0.179715 | 0.187430 | 0.190214 | 0.192295 | 0.193826 | 0.171841 | 0.187098 | 0.194829 | 0.155386 |
| metaCDN | 3 | 0.026574 | 0.025226 | 0.022904 | 0.022533 | 0.025010 | 0.025050 | 0.025405 | 0.025398 | 0.028305 | 0.026874 | 0.025429 | 0.022953 |
| metaKV | 5 | 0.044427 | 0.046701 | 0.055911 | 0.087911 | 0.048929 | 0.046225 | 0.045452 | 0.045713 | 0.052646 | 0.045213 | 0.045199 | 0.000000 |
| tencentBlock | 4755 | 0.226454 | 0.215147 | 0.198643 | 0.203959 | 0.216926 | 0.221362 | 0.211201 | 0.217409 | 0.196615 | 0.221948 | 0.221278 | 0.173933 |
| tencentPhoto | 2 | 0.002399 | 0.002599 | 0.002299 | 0.003298 | 0.002349 | 0.002798 | 0.003048 | 0.002798 | 0.004647 | 0.002749 | 0.002749 | 0.002145 |
| wiki | 3 | 0.011130 | 0.019154 | 0.009498 | 0.006773 | 0.021002 | 0.017754 | 0.018487 | 0.014384 | 0.012886 | 0.018543 | 0.018679 | 0.021808 |
| **coverage** | - | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5874/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5874/5874 |
| **avg(7 groups)** | - | 0.110818 | 0.110361 | 0.103925 | 0.109309 | 0.110778 | 0.111375 | 0.110267 | 0.110321 | 0.104034 | 0.110362 | 0.111335 | 0.107258 |

## MR 相对 LRU 比例 (avg of per-trace algo/LRU)

| group | n_traces | ARC | Cacheus | GLCache | LHD | LRU | LeCaR | S3FIFO-0.1000-2 | Sieve | WTinyLFU-w0.01-SLRU | LRB-BMR | ThreeLCache-BMR | best_LOH |
|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| alibabaBlock | 1000 | 0.914782 | 0.912514 | 1.035859 | 0.905121 | 1.000000 | 0.948945 | 0.904116 | 0.949490 | 1.079302 | 0.948185 | 0.915832 | 0.876574 |
| cloudphysics | 106 | 0.970602 | 0.955436 | 0.978869 | 0.928894 | 1.000000 | 0.976813 | 0.943346 | 0.966889 | 0.975633 | 0.973562 | 0.933337 | 0.940526 |
| metaCDN | 3 | 1.034985 | 1.003350 | 0.856316 | 0.893224 | 1.000000 | 1.000280 | 0.991937 | 1.008124 | 0.909076 | 0.970293 | 0.997898 | 0.684855 |
| metaKV | 5 | 0.932416 | 0.953985 | 0.671987 | 0.605537 | 1.000000 | 0.943867 | 0.872924 | 0.904379 | 0.832397 | 0.822014 | 0.818072 | 0.557128 |
| tencentBlock | 4755 | 0.944436 | 0.920511 | 1.127221 | 0.919014 | 1.000000 | 0.951050 | 0.903523 | 0.950364 | 1.232929 | 0.961829 | 0.904600 | 0.879309 |
| tencentPhoto | 2 | 0.987689 | 0.961999 | 1.069430 | 0.873330 | 1.000000 | 0.971391 | 0.949899 | 0.982136 | 0.984567 | 0.958012 | 0.940080 | 0.873155 |
| wiki | 3 | 0.841137 | 0.885567 | 0.797754 | 0.672897 | 1.000000 | 0.906236 | 0.799945 | 0.812581 | 0.796412 | 0.774898 | 0.777082 | 0.660313 |
| **coverage** | - | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 |
| **avg(7 groups)** | - | 0.946578 | 0.941909 | 0.933919 | 0.828288 | 1.000000 | 0.956940 | 0.909384 | 0.939138 | 0.972902 | 0.915542 | 0.898129 | 0.781694 |

## MR 相对 LRU 比例标准差

| group | n_traces | ARC | Cacheus | GLCache | LHD | LRU | LeCaR | S3FIFO-0.1000-2 | Sieve | WTinyLFU-w0.01-SLRU | LRB-BMR | ThreeLCache-BMR | best_LOH |
|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| alibabaBlock | 1000 | 0.098305 | 0.080560 | 0.202306 | 0.203606 | 0.000000 | 0.060345 | 0.140710 | 0.091419 | 0.409577 | 0.118289 | 0.099072 | 0.116751 |
| cloudphysics | 106 | 0.075747 | 0.063731 | 0.069027 | 0.092832 | 0.000000 | 0.039858 | 0.084650 | 0.069713 | 0.160251 | 0.102548 | 0.090581 | 0.094130 |
| metaCDN | 3 | 0.009916 | 0.001996 | 0.005276 | 0.015437 | 0.000000 | 0.000297 | 0.008377 | 0.002725 | 0.044115 | 0.006980 | 0.007015 | 0.030911 |
| metaKV | 5 | 0.028528 | 0.017406 | 0.063237 | 0.058638 | 0.000000 | 0.019371 | 0.027101 | 0.024465 | 0.033810 | 0.036756 | 0.036802 | 0.071792 |
| tencentBlock | 4755 | 0.086375 | 0.080409 | 0.368654 | 0.163359 | 0.000000 | 0.060126 | 0.169617 | 0.101710 | 0.868774 | 0.123731 | 0.104262 | 0.141453 |
| tencentPhoto | 2 | 0.000255 | 0.000554 | 0.014820 | 0.001989 | 0.000000 | 0.000807 | 0.001448 | 0.000842 | 0.002439 | 0.001137 | 0.001054 | 0.000708 |
| wiki | 3 | 0.111615 | 0.055094 | 0.178273 | 0.186038 | 0.000000 | 0.047764 | 0.091081 | 0.090838 | 0.098172 | 0.110762 | 0.103154 | 0.229553 |
| **coverage** | - | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 |
| **avg(7 groups)** | - | 0.058677 | 0.042822 | 0.128799 | 0.103129 | 0.000000 | 0.032652 | 0.074712 | 0.054530 | 0.231020 | 0.071458 | 0.063135 | 0.097900 |

## BMR 相对 LRU 比例 (avg of per-trace algo/LRU)

| group | n_traces | ARC | Cacheus | GLCache | LHD | LRU | LeCaR | S3FIFO-0.1000-2 | Sieve | WTinyLFU-w0.01-SLRU | LRB-BMR | ThreeLCache-BMR | best_LOH |
|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| alibabaBlock | 1000 | 0.960962 | 0.961824 | 1.026979 | 1.037181 | 1.000000 | 0.978253 | 0.978930 | 0.980220 | 1.105932 | 0.967960 | 0.958077 | 0.951075 |
| cloudphysics | 106 | 0.987283 | 0.978580 | 1.023189 | 1.016488 | 1.000000 | 0.990343 | 0.975311 | 0.990104 | 1.024328 | 0.980892 | 0.960510 | 0.982060 |
| metaCDN | 3 | 1.017830 | 1.000015 | 0.964494 | 0.996005 | 1.000000 | 0.999850 | 0.992132 | 1.001331 | 1.210701 | 1.001806 | 0.990715 | 0.918730 |
| metaKV | 5 | 0.975983 | 0.965104 | 1.136749 | 1.275708 | 1.000000 | 0.957964 | 0.916283 | 0.939911 | 1.019849 | 0.925834 | 0.908787 | 0.963001 |
| tencentBlock | 4755 | 0.967321 | 0.958160 | 1.089679 | 1.064110 | 1.000000 | 0.976784 | 0.948192 | 0.972258 | 1.194360 | 0.963083 | 0.937540 | 0.943648 |
| tencentPhoto | 2 | 0.981738 | 0.958549 | 1.196966 | 1.099488 | 1.000000 | 0.968096 | 0.942255 | 0.971885 | 1.012869 | 0.945288 | 0.930890 | 1.045179 |
| wiki | 3 | 0.926532 | 0.933330 | 1.065017 | 1.005838 | 1.000000 | 0.947064 | 0.877492 | 0.884877 | 0.900023 | 0.864881 | 0.863709 | 0.907399 |
| **coverage** | - | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 |
| **avg(7 groups)** | - | 0.973950 | 0.965080 | 1.071867 | 1.070688 | 1.000000 | 0.974051 | 0.947228 | 0.962941 | 1.066866 | 0.949963 | 0.935747 | 0.958727 |

## BMR 相对 LRU 比例标准差

| group | n_traces | ARC | Cacheus | GLCache | LHD | LRU | LeCaR | S3FIFO-0.1000-2 | Sieve | WTinyLFU-w0.01-SLRU | LRB-BMR | ThreeLCache-BMR | best_LOH |
|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| alibabaBlock | 1000 | 0.055650 | 0.044515 | 0.111875 | 0.719173 | 0.000000 | 0.030378 | 0.479113 | 0.059213 | 0.870099 | 0.063407 | 0.061456 | 0.078785 |
