# Baseline 算法汇总（7 groups，含 GDSF）

使用 docs/20260423-ablation-per-group/cmaes版本LOH-autocompound-cache0001-autocompound-cache0001 的表2/表3(best_LOH) 与 表4/表5(baseline) 生成。

**best_LOH 策略**: 各 group 文档表2/表3中 best_LOH 列（20260422 auto_compound 全局最优选取）。

## 数据来源清单

- best_LOH MR: 各 group 文档表2的 best_LOH 列
- best_LOH BMR: 各 group 文档表3的 best_LOH 列
- 其他算法 MR: 各 group 文档表4（不含 best_LOH 列）
- 其他算法 BMR: 各 group 文档表5（不含 best_LOH 列）
- 加权类指标: 各 group 文档表1 的 n_req 加权

## MR 平均值

| group | n_traces | ARC | Cacheus | GLCache | LHD | LRU | LeCaR | S3FIFO-0.1000-2 | Sieve | WTinyLFU-w0.01-SLRU | LRB-BMR | ThreeLCache-BMR | best_LOH |

| group | n_traces | ARC | Cacheus | GLCache | LHD | LRU | LeCaR | S3FIFO-0.1000-2 | Sieve | WTinyLFU-w0.01-SLRU | LRB-BMR | ThreeLCache-BMR | best_LOH |
|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| alibabaBlock | 1000 | 0.968028 | 0.953392 | 0.900387 | 0.848215 | 1.000000 | 0.974873 | 0.950514 | 1.007526 | 1.026069 | 0.965156 | 0.902400 | 0.819929 |
| cloudphysics | 106 | 0.989900 | 0.967031 | 0.991150 | 0.935595 | 1.000000 | 0.982942 | 0.959990 | 0.985897 | 1.000503 | 0.983146 | 0.944526 | 0.959743 |
| metaCDN | 3 | 1.037854 | 1.003730 | 0.856523 | 0.889351 | 1.000000 | 1.000200 | 0.993341 | 1.008741 | 0.921873 | 0.970922 | 0.998748 | 0.677751 |
| metaKV | 5 | 0.935744 | 0.952977 | 0.657290 | 0.592895 | 1.000000 | 0.947847 | 0.875017 | 0.907326 | 0.836071 | 0.819561 | 0.816309 | 0.496588 |
| tencentBlock | 4755 | 0.939308 | 0.911716 | 0.966838 | 0.827711 | 1.000000 | 0.944475 | 0.895775 | 0.926213 | 0.983127 | 0.914998 | 0.865294 | 0.809620 |
| tencentPhoto | 2 | 0.987680 | 0.961981 | 1.069916 | 0.873265 | 1.000000 | 0.971365 | 0.949852 | 0.982109 | 0.984647 | 0.957975 | 0.940046 | 0.873139 |
| wiki | 3 | 0.772376 | 0.852321 | 0.685899 | 0.555836 | 1.000000 | 0.878835 | 0.743491 | 0.758000 | 0.734966 | 0.705369 | 0.712674 | 0.542433 |
| **coverage** | - | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 |
| **avg(7 groups)** | - | 0.947270 | 0.943307 | 0.875429 | 0.788981 | 1.000000 | 0.957219 | 0.909711 | 0.939402 | 0.926751 | 0.902447 | 0.882857 | 0.739886 |

## MR 按请求数加权相对 LRU 比例标准差

| group | n_traces | ARC | Cacheus | GLCache | LHD | LRU | LeCaR | S3FIFO-0.1000-2 | Sieve | WTinyLFU-w0.01-SLRU | LRB-BMR | ThreeLCache-BMR | best_LOH |
|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| alibabaBlock | 1000 | 0.092116 | 0.071631 | 0.171807 | 0.151602 | 0.000000 | 0.051643 | 0.112818 | 0.156942 | 0.354387 | 0.162432 | 0.103371 | 0.195507 |
| cloudphysics | 106 | 0.067086 | 0.053281 | 0.066884 | 0.079410 | 0.000000 | 0.032651 | 0.073474 | 0.063147 | 0.153970 | 0.094835 | 0.076832 | 0.081386 |
| metaCDN | 3 | 0.008611 | 0.002073 | 0.005665 | 0.014849 | 0.000000 | 0.000253 | 0.008860 | 0.002722 | 0.037401 | 0.007628 | 0.007602 | 0.021348 |
| metaKV | 5 | 0.026524 | 0.018889 | 0.063806 | 0.060666 | 0.000000 | 0.016173 | 0.026301 | 0.022720 | 0.034249 | 0.038758 | 0.038332 | 0.060739 |
| tencentBlock | 4755 | 0.128083 | 0.113059 | 0.284016 | 0.161182 | 0.000000 | 0.095178 | 0.281094 | 0.139994 | 0.534264 | 0.164817 | 0.151087 | 0.205724 |
| tencentPhoto | 2 | 0.000255 | 0.000554 | 0.014812 | 0.001988 | 0.000000 | 0.000807 | 0.001448 | 0.000842 | 0.002438 | 0.001136 | 0.001054 | 0.000500 |
| wiki | 3 | 0.055460 | 0.030470 | 0.076904 | 0.077536 | 0.000000 | 0.031404 | 0.043499 | 0.051179 | 0.043386 | 0.047537 | 0.046587 | 0.078634 |
| **coverage** | - | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5870/5874 | 5873/5874 | 5873/5874 |
| **avg(7 groups)** | - | 0.054019 | 0.041422 | 0.097699 | 0.078176 | 0.000000 | 0.032587 | 0.078214 | 0.062507 | 0.165728 | 0.074144 | 0.060695 | 0.091977 |

## BMR 按请求数加权相对 LRU 比例 (weighted avg of per-trace algo/LRU)

| group | n_traces | ARC | Cacheus | GLCache | LHD | LRU | LeCaR | S3FIFO-0.1000-2 | Sieve | WTinyLFU-w0.01-SLRU | LRB-BMR | ThreeLCache-BMR | best_LOH |
|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| alibabaBlock | 1000 | 0.979751 | 0.973256 | 0.983410 | 0.966181 | 1.000000 | 0.988981 | 0.967469 | 0.994329 | 0.995254 | 0.949903 | 0.940507 | 0.901414 |
| cloudphysics | 106 | 0.993772 | 0.978745 | 1.035803 | 1.018806 | 1.000000 | 0.990744 | 0.974659 | 0.992950 | 1.027443 | 0.983401 | 0.960386 | 0.991052 |
| metaCDN | 3 | 1.019424 | 1.000330 | 0.962562 | 0.992410 | 1.000000 | 0.999911 | 0.992982 | 1.001847 | 1.128603 | 1.004379 | 0.991649 | 0.914368 |
| metaKV | 5 | 0.983015 | 0.965446 | 1.149188 | 1.330644 | 1.000000 | 0.961513 | 0.921766 | 0.946672 | 1.013715 | 0.936088 | 0.917620 | 0.968653 |
| tencentBlock | 4755 | 0.970050 | 0.955768 | 1.020532 | 0.993194 | 1.000000 | 0.970366 | 0.973304 | 0.953173 | 1.071821 | 0.926481 | 0.901752 | 0.875408 |
| tencentPhoto | 2 | 0.981733 | 0.958532 | 1.197221 | 1.099453 | 1.000000 | 0.968070 | 0.942214 | 0.971859 | 1.012757 | 0.945261 | 0.930862 | 1.045237 |
| wiki | 3 | 0.899330 | 0.932698 | 1.035005 | 0.988490 | 1.000000 | 0.946763 | 0.878293 | 0.886089 | 0.904184 | 0.863267 | 0.865239 | 0.911432 |
| **coverage** | - | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 |
| **avg(7 groups)** | - | 0.975296 | 0.966396 | 1.054817 | 1.055597 | 1.000000 | 0.975193 | 0.950098 | 0.963846 | 1.021968 | 0.944111 | 0.929717 | 0.943938 |

## BMR 按请求数加权相对 LRU 比例标准差

| group | n_traces | ARC | Cacheus | GLCache | LHD | LRU | LeCaR | S3FIFO-0.1000-2 | Sieve | WTinyLFU-w0.01-SLRU | LRB-BMR | ThreeLCache-BMR | best_LOH |
|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| alibabaBlock | 1000 | 0.051139 | 0.036213 | 0.150646 | 0.179722 | 0.000000 | 0.023729 | 0.080796 | 0.073378 | 0.287774 | 0.072747 | 0.060462 | 0.142703 |
| cloudphysics | 106 | 0.029526 | 0.024217 | 0.071493 | 0.060998 | 0.000000 | 0.012067 | 0.041844 | 0.031866 | 0.110677 | 0.040847 | 0.043792 | 0.039316 |
| metaCDN | 3 | 0.005869 | 0.001254 | 0.008656 | 0.012611 | 0.000000 | 0.000179 | 0.002993 | 0.002071 | 0.240234 | 0.007762 | 0.003273 | 0.014437 |
| metaKV | 5 | 0.017732 | 0.004589 | 0.039568 | 0.190315 | 0.000000 | 0.006315 | 0.018995 | 0.016836 | 0.014337 | 0.025144 | 0.026838 | 0.022467 |
| tencentBlock | 4755 | 0.054599 | 0.097332 | 0.129323 | 0.152989 | 0.000000 | 0.045737 | 0.728872 | 0.107496 | 0.914351 | 0.098801 | 0.097040 | 0.125901 |
| tencentPhoto | 2 | 0.000141 | 0.000526 | 0.007744 | 0.001085 | 0.000000 | 0.000795 | 0.001266 | 0.000782 | 0.003438 | 0.000801 | 0.000852 | 0.001767 |
| wiki | 3 | 0.020128 | 0.000576 | 0.025303 | 0.018797 | 0.000000 | 0.002723 | 0.000528 | 0.006096 | 0.010590 | 0.001355 | 0.001008 | 0.003406 |
| **coverage** | - | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 |
| **avg(7 groups)** | - | 0.025590 | 0.023530 | 0.061819 | 0.088074 | 0.000000 | 0.013078 | 0.125042 | 0.034075 | 0.225914 | 0.035351 | 0.033323 | 0.050000 |
