# Algorithm Parameter MissRatio ByteMissRatio Throughput(MQPS)
LRU 0.01 0.5792 0.2429 2.26
LRU 0.1 0.5230 0.1345 2.13
ARC 0.01 0.5782 0.2423 2.03
ARC 0.1 0.5108 0.1278 2.54
SIEVE 0.01 0.6152 0.7203 2.41
SIEVE 0.1 0.5110 0.1454 2.16
GDSF 0.01 0.5646 0.4061 0.64
LHD 0.01 0.5615 0.3191 0.52
S3FIFO 0.01 0.5657 0.2035 0.99
S3FIFO 0.1 0.5123 0.1248 1.01
lecar 0.01 0.5714 0.2084 1.61
GDSF 0.1 0.5105 0.1386 0.54
lecar 0.1 0.5212 0.1333 1.55
wtinylfu 0.1 0.5212 0.2431 1.16
LHD 0.1 0.4943 0.2623 0.46
glcache 0.01 0.5677 0.4542 1.12
glcache 0.1 0.4817 0.1524 1.19
cacheus 0.1 0.5159 0.1276 0.50
cacheus 0.01 0.5745 0.2326 0.47
wtinylfu 0.01 0.5688 0.2616 0.40
3lcache 0.01 0.5699 0.2100 0.24
3lcache 0.1 0.5177 0.1303 0.24
lrb 0.1 0.5047 0.1371 0.01
lrb 0.01 0.6015 0.2683 0.01
