# Algorithm Parameter ElapsedTime(s) AvgCPU_Monitor(%) MaxCPU_Monitor(%) CumulativeCPU_Monitor(%*s)
LRU 0.01 23.787635468 89.47 146.00 1127.26
LRU 0.1 23.896100765 80.47 89.00 1013.96
ARC 0.01 24.961332725 82.59 108.00 1106.74
ARC 0.1 22.115391556 76.87 83.70 907.12
SIEVE 0.01 22.526178622 87.94 136.00 1072.90
SIEVE 0.1 23.700248860 89.93 168.00 1169.12
GDSF 0.01 52.449504001 81.16 85.10 2288.80
LHD 0.01 58.859081132 83.71 118.00 2661.82
S3FIFO 0.01 35.861089867 84.53 105.00 1656.88
S3FIFO 0.1 35.480598139 87.83 109.00 1668.70
lecar 0.01 27.167654525 86.02 140.00 1255.86
GDSF 0.1 58.213130071 83.21 118.00 2612.74
lecar 0.1 26.955046622 87.26 139.00 1291.52
wtinylfu 0.1 32.564250550 86.14 112.00 1516.06
LHD 0.1 66.240061194 84.64 136.00 3030.22
glcache 0.01 32.611550937 83.47 88.70 1469.14
glcache 0.1 33.357917380 88.32 133.00 1572.14
cacheus 0.1 59.625297809 89.04 166.00 2867.08
cacheus 0.01 62.387180392 86.06 101.00 2874.24
wtinylfu 0.01 80.854818903 85.28 106.00 3718.12
3lcache 0.01 110.872621166 84.81 136.00 5003.58
3lcache 0.1 112.050831466 84.21 88.40 5018.74
lrb 0.1 2954.076805913 85.86 137.00 131370.88
lrb 0.01 4209.165179973 86.32 105.00 187927.06
