# Algorithm Parameter AvgMemory_Monitor(KB) PeakMemory_Monitor(KB)
LRU 0.01 250216 285696
LRU 0.1 275261 340224
ARC 0.01 255328 300288
ARC 0.1 278433 359808
SIEVE 0.01 248108 285312
SIEVE 0.1 262626 309888
GDSF 0.01 275825 301824
LHD 0.01 320118 358848
S3FIFO 0.01 523888 682176
S3FIFO 0.1 562156 742848
lecar 0.01 359921 519168
GDSF 0.1 370233 423936
lecar 0.1 335761 439104
wtinylfu 0.1 435157 567936
LHD 0.1 405645 467712
glcache 0.01 268433 299904
glcache 0.1 307092 387072
cacheus 0.1 878146 1068096
cacheus 0.01 789409 940800
wtinylfu 0.01 7151781 8940096
3lcache 0.01 304807 335232
3lcache 0.1 440299 492096
lrb 0.1 1116408 1225048
lrb 0.01 964715 1151908
