# Algorithm Parameter AvgMemory_Monitor(KB) PeakMemory_Monitor(KB)
LRU 0.01 247732 284416
LRU 0.1 273845 338816
LHD 0.01 318977 359808
LHD 0.1 416851 468992
GDSF 0.01 274560 298112
GDSF 0.1 373897 420864
ARC 0.01 250124 297216
ARC 0.1 271599 357504
SIEVE 0.01 246736 284032
SIEVE 0.1 257004 308224
S3FIFO 0.01 520396 678656
S3FIFO 0.1 576861 740736
wtinylfu 0.01 7169710 8939648
wtinylfu 0.1 430699 565760
lecar 0.01 355560 517248
lecar 0.1 335151 436608
cacheus 0.01 795894 938496
cacheus 0.1 891657 1065984
glcache 0.01 265378 298240
glcache 0.1 311381 385152
3lcache 0.01 304013 334464
3lcache 0.1 440506 488064
