# Algorithm Parameter MissRatio ByteMissRatio Throughput(MQPS)
LRU 0.01 0.5792 0.2429 3.91
LRU 0.1 0.5230 0.1345 3.53
LHD 0.01 0.5623 0.3324 0.91
LHD 0.1 0.4944 0.2565 0.63
GDSF 0.01 0.5646 0.4061 0.99
GDSF 0.1 0.5105 0.1386 0.79
ARC 0.01 0.5782 0.2423 3.58
ARC 0.1 0.5108 0.1278 3.54
SIEVE 0.01 0.6152 0.7203 4.06
SIEVE 0.1 0.5110 0.1454 3.66
S3FIFO 0.01 0.5657 0.2035 1.41
S3FIFO 0.1 0.5123 0.1248 1.28
wtinylfu 0.01 0.5688 0.2616 0.62
wtinylfu 0.1 0.5212 0.2431 1.81
lecar 0.01 0.5713 0.2083 2.48
lecar 0.1 0.5212 0.1332 2.32
cacheus 0.01 0.5745 0.2326 0.69
cacheus 0.1 0.5159 0.1276 0.72
glcache 0.01 0.5677 0.4542 1.95
glcache 0.1 0.4817 0.1524 2.04
3lcache 0.01 0.5699 0.2100 0.45
3lcache 0.1 0.5177 0.1303 0.40
