# Algorithm Parameter MissRatio ByteMissRatio Throughput(MQPS)
LRU 0.01 0.0325 0.0501 7.09
LRU 0.1 0.0317 0.0480 6.60
ARC 0.01 0.0325 0.0501 6.79
SIEVE 0.01 0.0325 0.0501 7.12
SIEVE 0.1 0.0317 0.0480 6.52
ARC 0.1 0.0317 0.0481 6.03
S3FIFO 0.01 0.0324 0.0499 4.70
S3FIFO 0.1 0.0317 0.0480 4.60
LHD 0.01 0.0324 0.0501 2.35
wtinylfu 0.1 0.0360 0.0527 3.88
wtinylfu 0.01 0.0326 0.0507 3.67
LHD 0.1 0.0317 0.0481 1.97
glcache 0.01 0.0340 0.0532 4.99
glcache 0.1 0.0320 0.0496 4.58
cacheus 0.01 0.0325 0.0501 1.57
cacheus 0.1 0.0317 0.0479 1.62
GDSF 0.01 0.0325 0.0506 0.78
GDSF 0.1 0.0320 0.0494 0.64
3lcache 0.01 0.0321 0.0493 0.82
3lcache 0.1 0.0317 0.0480 0.76
lrb 0.1 0.0317 0.0480 0.02
lrb 0.01 0.0325 0.0497 0.01
