# Algorithm Parameter ElapsedTime(s) AvgCPU_Monitor(%) MaxCPU_Monitor(%) CumulativeCPU_Monitor(%*s)
LRU 0.01 353.951726204 83.91 86.00 15910.28
LRU 0.1 370.870117379 85.41 158.00 16945.54
ARC 0.01 358.973998946 85.46 100.00 16441.90
SIEVE 0.01 348.556605068 86.24 117.00 16127.14
SIEVE 0.1 368.327156536 86.67 134.00 17178.42
ARC 0.1 387.377637201 86.68 134.00 18011.98
S3FIFO 0.01 458.074876727 86.74 115.00 21320.28
S3FIFO 0.1 465.018230732 86.97 123.00 21654.90
LHD 0.01 799.023149981 85.96 89.20 36858.40
wtinylfu 0.1 528.194134763 86.55 87.80 24078.20
wtinylfu 0.01 551.001887459 86.39 89.60 25330.14
LHD 0.1 929.828021925 86.45 146.00 42722.02
glcache 0.01 440.326191980 86.88 133.00 20051.84
glcache 0.1 472.540352354 86.24 102.00 21196.82
cacheus 0.01 1153.307168396 86.84 132.00 51632.18
cacheus 0.1 1142.861302143 86.33 89.40 51075.18
GDSF 0.01 2159.150816939 86.08 86.70 96686.90
GDSF 0.1 2584.329452004 86.06 110.00 115160.02
3lcache 0.01 2063.062857861 86.21 108.00 90690.10
3lcache 0.1 2209.768492422 85.88 92.50 96871.96
lrb 0.1 76098.644479177 74.61 140.00 591103.20
lrb 0.01 196296.473104106 45.10 94.60 825491.66
