# Algorithm Parameter AvgMemory_Monitor(KB) PeakMemory_Monitor(KB)
LRU 0.01 298469 339264
LRU 0.1 571017 793152
ARC 0.01 349468 471552
SIEVE 0.01 313869 363648
SIEVE 0.1 790263 1143936
ARC 0.1 872386 1264320
S3FIFO 0.01 616200 758016
S3FIFO 0.1 1148284 1521024
LHD 0.01 385297 415680
wtinylfu 0.1 804384 992256
wtinylfu 0.01 513667 596352
LHD 0.1 870355 984000
glcache 0.01 372700 441688
glcache 0.1 859198 1179100
cacheus 0.01 7371908 12900096
cacheus 0.1 8977116 14775168
GDSF 0.01 462370 478464
GDSF 0.1 2052440 2271936
3lcache 0.01 532033 557988
3lcache 0.1 2298232 2695884
lrb 0.1 2558351 2743356
lrb 0.01 1532511 1729344
