idx,rep,seed,run_timestamp,exit_code,miss_ratio,byte_miss_ratio,throughput_mqps,trace_file,cache_ratio,config
1,1,101,meta_smoke_fix_1212_151230_001_r01,0,0.5158,0.2404,0.01,"data/MetaCDN/meta_reag.oracleGeneral.zst",0.1,"LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=TD3 LOH_USE_SOFTMAX=1 LOH_DUAL_CHANNEL=0 LOH_REWARD_MODE=absolute LOH_ACTION_BOUND=1.0 LOH_ACTION_SCALE=1.0 LOH_WEIGHT_EMA=0.0 LOH_WEIGHT_CLIP=0.0 TD3_ACTION_NOISE=0.0"
1,2,102,meta_smoke_fix_1212_151230_001_r02,0,0.5091,0.2432,0.01,"data/MetaCDN/meta_reag.oracleGeneral.zst",0.1,"LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=TD3 LOH_USE_SOFTMAX=1 LOH_DUAL_CHANNEL=0 LOH_REWARD_MODE=absolute LOH_ACTION_BOUND=1.0 LOH_ACTION_SCALE=1.0 LOH_WEIGHT_EMA=0.0 LOH_WEIGHT_CLIP=0.0 TD3_ACTION_NOISE=0.0"
2,1,201,meta_smoke_fix_1212_151230_002_r01,0,0.5072,0.2457,0.01,"data/MetaCDN/meta_reag.oracleGeneral.zst",0.1,"LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=TD3 LOH_USE_SOFTMAX=0 LOH_DUAL_CHANNEL=0 LOH_REWARD_MODE=absolute LOH_ACTION_BOUND=1.0 LOH_ACTION_SCALE=1.0 LOH_WEIGHT_EMA=0.0 LOH_WEIGHT_CLIP=1.0 TD3_ACTION_NOISE=0.10"
2,2,202,meta_smoke_fix_1212_151230_002_r02,0,0.5111,0.2377,0.01,"data/MetaCDN/meta_reag.oracleGeneral.zst",0.1,"LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=TD3 LOH_USE_SOFTMAX=0 LOH_DUAL_CHANNEL=0 LOH_REWARD_MODE=absolute LOH_ACTION_BOUND=1.0 LOH_ACTION_SCALE=1.0 LOH_WEIGHT_EMA=0.0 LOH_WEIGHT_CLIP=1.0 TD3_ACTION_NOISE=0.10"
3,1,301,meta_smoke_fix_1212_151230_003_r01,0,0.5088,0.2572,0.01,"data/MetaCDN/meta_reag.oracleGeneral.zst",0.1,"LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_USE_SOFTMAX=1 LOH_DUAL_CHANNEL=0 LOH_REWARD_MODE=absolute LOH_ACTION_BOUND=1.0 LOH_ACTION_SCALE=1.0 LOH_WEIGHT_EMA=0.0 LOH_WEIGHT_CLIP=0.0"
3,2,302,meta_smoke_fix_1212_151230_003_r02,0,0.5142,0.2293,0.01,"data/MetaCDN/meta_reag.oracleGeneral.zst",0.1,"LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_USE_SOFTMAX=1 LOH_DUAL_CHANNEL=0 LOH_REWARD_MODE=absolute LOH_ACTION_BOUND=1.0 LOH_ACTION_SCALE=1.0 LOH_WEIGHT_EMA=0.0 LOH_WEIGHT_CLIP=0.0"
4,1,401,meta_smoke_fix_1212_151230_004_r01,0,0.5073,0.2528,0.01,"data/MetaCDN/meta_reag.oracleGeneral.zst",0.1,"LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_USE_SOFTMAX=0 LOH_DUAL_CHANNEL=0 LOH_REWARD_MODE=absolute LOH_ACTION_BOUND=1.0 LOH_ACTION_SCALE=1.0 LOH_WEIGHT_EMA=0.0 LOH_WEIGHT_CLIP=1.0"
4,2,402,meta_smoke_fix_1212_151230_004_r02,0,0.5038,0.2427,0.01,"data/MetaCDN/meta_reag.oracleGeneral.zst",0.1,"LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_USE_SOFTMAX=0 LOH_DUAL_CHANNEL=0 LOH_REWARD_MODE=absolute LOH_ACTION_BOUND=1.0 LOH_ACTION_SCALE=1.0 LOH_WEIGHT_EMA=0.0 LOH_WEIGHT_CLIP=1.0"
