# Algorithm Parameter ElapsedTime(s) AvgCPU_Monitor(%) MaxCPU_Monitor(%) CumulativeCPU_Monitor(%*s)
LRU 0.1 12.394820212 89.63 125.00 627.40
LRU 0.01 13.872371816 83.02 92.00 630.94
ARC 0.01 14.440291419 78.75 102.00 598.48
ARC 0.1 13.895256401 88.27 151.00 670.84
SIEVE 0.01 12.999724395 82.07 101.00 574.48
LHD 0.1 28.025588971 85.00 107.00 1309.04
SIEVE 0.1 13.364567653 94.96 143.00 740.70
LHD 0.01 35.750783056 89.51 151.00 1790.22
lecar 0.1 18.177960382 87.88 139.00 878.84
wtinylfu 0.1 20.441369509 89.00 119.00 996.84
lecar 0.01 19.974997111 92.13 144.00 1013.40
S3FIFO 0.1 22.073229195 86.11 105.00 1050.50
GDSF 0.01 46.498836329 87.75 128.00 2246.44
S3FIFO 0.01 27.291066129 89.03 126.00 1371.12
glcache 0.1 18.235303845 80.34 90.00 787.34
glcache 0.01 22.286831401 77.97 84.50 951.28
GDSF 0.1 63.303043641 87.63 134.00 3014.62
cacheus 0.1 43.260848938 85.15 102.00 1975.56
cacheus 0.01 51.903295972 88.52 172.00 2460.72
wtinylfu 0.01 56.552360488 88.94 167.00 2739.30
3lcache 0.1 62.368022638 82.80 87.20 2782.20
3lcache 0.01 82.049658687 86.79 130.00 3818.72
lrb 0.1 1649.448572548 86.16 104.00 74410.82
lrb 0.01 2616.037044207 86.21 143.00 117473.28
