# Algorithm Parameter AvgMemory_Monitor(KB) PeakMemory_Monitor(KB)
LRU 0.1 128673 180480
LRU 0.01 121743 160704
ARC 0.01 122976 162816
ARC 0.1 143757 196416
SIEVE 0.01 119841 158592
LHD 0.1 260714 335232
SIEVE 0.1 135104 179712
LHD 0.01 207972 233088
lecar 0.1 195437 286080
wtinylfu 0.1 329705 445248
lecar 0.01 180756 280896
S3FIFO 0.1 469978 587904
GDSF 0.01 158640 173568
S3FIFO 0.01 452950 556224
glcache 0.1 180684 247488
glcache 0.01 146537 176064
GDSF 0.1 233097 269184
cacheus 0.1 779121 935808
cacheus 0.01 754966 875328
wtinylfu 0.01 7208090 8819928
3lcache 0.1 238594 276096
3lcache 0.01 184194 200256
lrb 0.1 553705 715012
lrb 0.01 527203 705628
