trace,status,rc,final_mr,final_bmr,final_mqps,log_path
meta,ok,0,0.269176,0.153885,0.54,tmp/transformq0_orig3_cache01_0317/meta_transformq0_cache01_0317_233040.log
1063,ok,0,0.022822,0.024181,0.40,tmp/transformq0_orig3_cache01_0317/1063_transformq0_cache01_0317_233040.log
wiki,ok,0,0.171503,0.137036,0.07,tmp/transformq0_orig3_cache01_0317/wiki_transformq0_cache01_0317_233040.log
