# Algorithm Parameter AvgMemory_Monitor(KB) PeakMemory_Monitor(KB)
LRU 0.01 296950 335616
LRU 0.1 580168 789760
LHD 0.01 387676 414592
LHD 0.1 879286 983040
GDSF 0.01 459777 475264
GDSF 0.1 2032941 2271488
ARC 0.01 350738 470784
ARC 0.1 897756 1263488
SIEVE 0.01 315330 362880
SIEVE 0.1 800897 1143424
S3FIFO 0.01 617672 756736
S3FIFO 0.1 1149355 1518208
wtinylfu 0.01 512666 596224
wtinylfu 0.1 808598 994048
lecar 0.01 1164894 1173760
lecar 0.1 1090300 1221120
