# Algorithm Parameter ElapsedTime(s) AvgCPU_Monitor(%) MaxCPU_Monitor(%) CumulativeCPU_Monitor(%*s)
LRU 0.01 214.338049497 99.91 159.00 15806.32
LRU 0.1 230.756667740 100.02 158.00 16983.44
LHD 0.01 529.326057656 99.88 159.00 38971.60
LHD 0.1 609.489775834 100.11 181.00 45007.94
GDSF 0.01 1278.404699106 99.68 103.00 94037.74
GDSF 0.1 1486.761116276 99.82 127.00 109577.52
ARC 0.01 231.058404001 99.14 107.00 16874.16
ARC 0.1 262.846370243 100.00 157.00 19380.32
SIEVE 0.01 220.403080453 99.62 131.00 16157.88
SIEVE 0.1 242.859093125 99.92 160.00 17925.36
S3FIFO 0.01 306.208718734 99.61 132.00 22472.30
S3FIFO 0.1 315.686623228 100.11 161.00 23244.98
wtinylfu 0.01 341.837413629 100.12 162.00 25130.68
wtinylfu 0.1 339.031680666 99.94 161.00 24904.48
lecar 0.01 8663.278106684 99.87 106.00 632536.44
lecar 0.1 665.968675059 99.55 137.00 48180.52
