# Algorithm Parameter MissRatio ByteMissRatio Throughput(MQPS)
LRU 0.01 0.0325 0.0501 11.31
LRU 0.1 0.0317 0.0480 10.24
LHD 0.01 0.0324 0.0501 3.47
LHD 0.1 0.0317 0.0481 2.96
GDSF 0.01 0.0325 0.0506 1.31
GDSF 0.1 0.0320 0.0494 1.13
ARC 0.01 0.0325 0.0501 10.33
ARC 0.1 0.0317 0.0481 8.56
SIEVE 0.01 0.0325 0.0501 10.89
SIEVE 0.1 0.0317 0.0480 9.70
S3FIFO 0.01 0.0324 0.0499 6.98
S3FIFO 0.1 0.0317 0.0480 6.74
wtinylfu 0.01 0.0326 0.0507 5.95
wtinylfu 0.1 0.0360 0.0527 6.02
lecar 0.01 N/A N/A N/A
lecar 0.1 N/A N/A N/A
