idx,n,miss_ratio_mean,miss_ratio_std,byte_miss_ratio_mean,byte_miss_ratio_std,throughput_mqps_mean,throughput_mqps_std,config
1,1,NA,NA,NA,NA,NA,NA,LOH_RL_ALGO=SAC LOH_USE_SOFTMAX=1 LOH_SOFTMAX_TEMP=1.0 LOH_ACTION_SCALE=1.0 RL_UPDATE_INTERVAL=200
2,1,0.395668,0.000000,0.369375,0.000000,0.010000,0.000000,LOH_RL_ALGO=SAC LOH_USE_SOFTMAX=1 LOH_SOFTMAX_TEMP=0.3 LOH_ACTION_SCALE=1.0 RL_UPDATE_INTERVAL=200
3,1,0.465066,0.000000,0.503445,0.000000,0.010000,0.000000,LOH_RL_ALGO=SAC LOH_USE_SOFTMAX=1 LOH_SOFTMAX_TEMP=2.0 LOH_ACTION_SCALE=1.0 RL_UPDATE_INTERVAL=200
4,1,0.400905,0.000000,0.378229,0.000000,0.010000,0.000000,LOH_RL_ALGO=SAC LOH_USE_SOFTMAX=1 LOH_SOFTMAX_TEMP=1.0 LOH_ACTION_SCALE=3.0 RL_UPDATE_INTERVAL=200
5,1,0.365522,0.000000,0.349236,0.000000,0.010000,0.000000,LOH_RL_ALGO=SAC LOH_USE_SOFTMAX=0 LOH_ACTION_SCALE=1.0 RL_UPDATE_INTERVAL=200
6,1,0.369295,0.000000,0.352791,0.000000,0.010000,0.000000,LOH_RL_ALGO=SAC LOH_USE_SOFTMAX=0 LOH_ACTION_SCALE=3.0 RL_UPDATE_INTERVAL=200
7,1,0.356964,0.000000,0.346599,0.000000,0.000000,0.000000,LOH_RL_ALGO=SAC LOH_USE_SOFTMAX=0 LOH_ACTION_SCALE=1.0 RL_UPDATE_INTERVAL=50
8,1,0.376490,0.000000,0.354094,0.000000,0.080000,0.000000,LOH_RL_ALGO=SAC LOH_USE_SOFTMAX=0 LOH_ACTION_SCALE=1.0 RL_UPDATE_INTERVAL=1000
9,1,0.563725,0.000000,0.599789,0.000000,0.010000,0.000000,LOH_RL_ALGO=TD3 LOH_USE_SOFTMAX=0 LOH_ACTION_SCALE=1.0 RL_UPDATE_INTERVAL=200
