# Algorithm Parameter AvgMemory_Monitor(KB) PeakMemory_Monitor(KB)
LRU 0.01 539220 629568
LRU 0.1 2655384 3123264
ARC 0.01 1080120 1328180
SIEVE 0.01 527935 624384
ARC 0.1 4794437 6120192
GDSF 0.1 6138878 11969856
SIEVE 0.1 2696059 3220032
LHD 0.01 3689065 4188736
LHD 0.1 5080765 5647312
S3FIFO 0.01 1113960 1291392
