# Algorithm Parameter MissRatio ByteMissRatio Throughput(MQPS)
LRU 0.01 0.0789 0.0976 1.53
LRU 0.1 0.0364 0.0575 1.07
ARC 0.01 0.0760 0.1051 1.24
SIEVE 0.01 0.0754 0.0960 1.69
ARC 0.1 0.0378 0.0678 1.12
GDSF 0.1 N/A N/A N/A
SIEVE 0.1 0.0350 0.0559 0.08
LHD 0.01 0.0480 0.1130 0.08
LHD 0.1 0.0371 0.0581 0.08
S3FIFO 0.01 0.0746 0.0965 0.08
