# Algorithm Parameter ElapsedTime(s) AvgCPU_Monitor(%) MaxCPU_Monitor(%) CumulativeCPU_Monitor(%*s)
LRU 0.01 7022.432382599 80.91 83.30 286020.46
LRU 0.1 9404.717986296 83.32 114.00 394205.66
ARC 0.01 8311.817641932 80.48 84.30 334710.18
SIEVE 0.01 6394.212126760 78.79 90.50 251956.40
ARC 0.1 8934.189740310 82.50 116.00 368722.90
GDSF 0.1 22866.829696568 80.23 111.00 468622.60
SIEVE 0.1 107906.277588233 78.27 86.50 324999.04
LHD 0.01 116272.315330070 74.37 123.00 620770.00
LHD 0.1 114658.585178071 69.56 84.50 525032.30
S3FIFO 0.01 108846.218634911 45.42 78.20 209669.72
