group,config_id,trace,mode,sac_net_arch,sac_buffer_size,sac_batch_size,rc,result_line,log_file
"net","net1","1063","log1p","256","10000","256","0","data/TencentCBS/1063.oracleGeneral.zst LOH-OMR cache size     2GiB,          3000000 req, miss ratio 0.285966, byte miss ratio 0.330076, throughput 0.16 MQPS","/home/dingkp/libCacheSim/tmp/full_default_netbuf_0313_221624/logs/net_net1_1063.log"
"net","net1","meta","log1p","256","10000","256","0","data/MetaCDN/meta_reag.oracleGeneral.zst LOH-OMR cache size     1TiB,          3000000 req, miss ratio 0.370453, byte miss ratio 0.218805, throughput 0.67 MQPS","/home/dingkp/libCacheSim/tmp/full_default_netbuf_0313_221624/logs/net_net1_meta.log"
