file,trace,dataset,cache_size_mib,loh_mr,loh_bmr,loh_mr_runtime,loh_bmr_runtime,baseline_best_mr,baseline_best_mr_algo,baseline_best_bmr,baseline_best_bmr_algo,mr_gain_vs_best,bmr_gain_vs_best,matched_algo_count
ab_alibabaBlock_945.cachesim,alibabaBlock_945,alibabaBlock,3.0,0.704135,0.952964,0.5,1.3,0.6901,ARC,0.9515,ARC,-0.020337632227213312,-0.00153862322648452,12
ab_alibabaBlock_946.cachesim,alibabaBlock_946,alibabaBlock,3.0,0.712491,0.949762,0.5,0.8,0.6889,ARC,0.9463,ARC,-0.034244447670198915,-0.0036584592623903254,12
ab_alibabaBlock_947.cachesim,alibabaBlock_947,alibabaBlock,1.0,0.977267,0.99372,0.2,0.5,0.9563,WTinyLFU-w0.01-SLRU,0.9926,ARC,-0.02192512809787719,-0.0011283497884344246,12
ab_alibabaBlock_948.cachesim,alibabaBlock_948,alibabaBlock,6.0,0.985568,0.99882,0.1,0.1,0.8944,LHD,0.997,LHD,-0.10193202146690522,-0.0018254764292879074,12
ab_alibabaBlock_949.cachesim,alibabaBlock_949,alibabaBlock,1.0,0.971463,0.992413,0.2,0.4,0.954,WTinyLFU-w0.01-SLRU,0.9922,ARC,-0.018305031446540887,-0.00021467446079421362,12
ab_alibabaBlock_95.cachesim,alibabaBlock_95,alibabaBlock,11.0,0.665882,0.930345,8.0,14.6,0.6642,GDSF,0.9119,S3FIFO-0.1000-2,-0.0025323697681420678,-0.020226998574405016,12
ab_alibabaBlock_950.cachesim,alibabaBlock_950,alibabaBlock,12.0,0.867979,0.999235,0.4,0.4,0.8373,GDSF,0.9955,GDSF,-0.036640391735339665,-0.003751883475640314,12
ab_alibabaBlock_951.cachesim,alibabaBlock_951,alibabaBlock,6.0,0.945697,0.998918,0.1,0.2,0.8805,LHD,0.9967,LHD,-0.07404542873367412,-0.002225343633992116,12
ab_alibabaBlock_952.cachesim,alibabaBlock_952,alibabaBlock,4.0,0.93822,0.998032,0.1,0.1,0.9174,LHD,0.9967,LHD,-0.02269457161543499,-0.0013364101535065715,12
ab_alibabaBlock_953.cachesim,alibabaBlock_953,alibabaBlock,2.0,0.961276,0.990763,0.2,0.4,0.9434,WTinyLFU-w0.01-SLRU,0.9904,ARC,-0.01894848420606318,-0.0003665185783521832,12
ab_alibabaBlock_954.cachesim,alibabaBlock_954,alibabaBlock,4.0,0.978265,0.998359,0.1,0.1,0.9342,LHD,0.9975,GDSF,-0.047168700492399934,-0.0008611528822054567,12
ab_alibabaBlock_955.cachesim,alibabaBlock_955,alibabaBlock,5.0,0.985161,0.998717,0.1,0.1,0.9101,LHD,0.997,LHD,-0.08247555213712772,-0.0017221664994984639,12
ab_alibabaBlock_956.cachesim,alibabaBlock_956,alibabaBlock,1.0,0.965936,0.991948,0.2,0.6,0.9532,WTinyLFU-w0.01-SLRU,0.9922,ARC,-0.013361309274024307,0.00025398105220713463,12
ab_alibabaBlock_957.cachesim,alibabaBlock_957,alibabaBlock,3.0,0.685762,0.944883,0.4,0.9,0.673,ARC,0.9413,ARC,-0.018962852897473906,-0.0038064379050249684,12
ab_alibabaBlock_958.cachesim,alibabaBlock_958,alibabaBlock,11.0,0.808386,0.994782,0.4,0.5,0.8017,GDSF,0.9934,LHD,-0.008339777971810005,-0.0013911817998793089,12
ab_alibabaBlock_959.cachesim,alibabaBlock_959,alibabaBlock,11.0,0.806309,0.9948,0.4,0.5,0.7992,GDSF,0.993,LHD,-0.008895145145145184,-0.00181268882175229,12
ab_alibabaBlock_96.cachesim,alibabaBlock_96,alibabaBlock,20.0,0.366809,0.680179,103.9,41.8,0.3533,GDSF,0.6787,GDSF,-0.03823662609680156,-0.0021791660527479126,12
ab_alibabaBlock_960.cachesim,alibabaBlock_960,alibabaBlock,5.0,0.840176,0.994966,0.1,0.2,0.8314,LHD,0.994,LHD,-0.01055568919894155,-0.0009718309859155155,12
ab_alibabaBlock_961.cachesim,alibabaBlock_961,alibabaBlock,4.0,0.979462,0.998029,0.1,0.1,0.9632,LHD,0.9976,GDSF,-0.016883305647840647,-0.00043003207698477614,12
ab_alibabaBlock_962.cachesim,alibabaBlock_962,alibabaBlock,3.0,0.561563,0.891698,0.9,1.8,0.5388,ARC,0.8882,ARC,-0.042247587230883614,-0.003938302184192751,12
ab_alibabaBlock_963.cachesim,alibabaBlock_963,alibabaBlock,4.0,0.982976,0.998301,0.1,0.1,0.9636,LHD,0.9979,LHD,-0.020107928601079232,-0.0004018438721314608,12
ab_alibabaBlock_964.cachesim,alibabaBlock_964,alibabaBlock,15.0,0.813866,0.992847,0.6,1.4,0.8109,GDSF,0.9925,GDSF,-0.0036576643235911015,-0.0003496221662468375,12
ab_alibabaBlock_965.cachesim,alibabaBlock_965,alibabaBlock,1.0,0.723049,0.914674,0.5,1.3,0.7024,ARC,0.9095,ARC,-0.029397779043280222,-0.005688840021990118,12
ab_alibabaBlock_966.cachesim,alibabaBlock_966,alibabaBlock,10.0,0.838381,0.993578,0.4,0.8,0.8341,LHD,0.9931,LHD,-0.00513247812012959,-0.0004813211156982967,12
ab_alibabaBlock_967.cachesim,alibabaBlock_967,alibabaBlock,3.0,0.572226,0.876302,1.1,2.2,0.5494,ARC,0.8761,ARC,-0.041547142337095035,-0.0002305672868394424,12
ab_alibabaBlock_968.cachesim,alibabaBlock_968,alibabaBlock,3.0,0.575693,0.887455,0.7,3.3,0.556,ARC,0.8764,ARC,-0.03541906474820136,-0.012614103149246962,12
ab_alibabaBlock_969.cachesim,alibabaBlock_969,alibabaBlock,3.0,0.535187,0.869884,1.2,3.7,0.5222,ARC,0.8577,ARC,-0.024869781692837937,-0.0142054331351288,12
ab_alibabaBlock_97.cachesim,alibabaBlock_97,alibabaBlock,365.0,0.112892,0.74452,76.5,96.8,0.1122,Sieve,0.7362,LRB-BMR,-0.006167557932263922,-0.01130127682694919,12
ab_alibabaBlock_970.cachesim,alibabaBlock_970,alibabaBlock,15.0,0.815736,0.992566,0.6,0.7,0.813,GDSF,0.9922,LHD,-0.00336531365313662,-0.00036887724249141045,12
ab_alibabaBlock_971.cachesim,alibabaBlock_971,alibabaBlock,5.0,0.946806,0.99889,0.1,0.2,0.9021,GDSF,0.9972,LHD,-0.049557698703026294,-0.0016947452868030179,12
ab_alibabaBlock_972.cachesim,alibabaBlock_972,alibabaBlock,1.0,0.963609,0.992213,0.2,0.4,0.9493,WTinyLFU-w0.01-SLRU,0.9921,ARC,-0.015073211840303398,-0.00011389980848707766,12
