trace,status,rc,final_mr,final_bmr,final_mqps,log_path
meta,ok,0,0.355763,0.212391,0.04,tmp/log1p_qinput_orig3_cache0001_0317/meta_log1p_qinput_log1p_hitmiss0_c001_0317_200654.log
wiki,ok,0,0.740196,0.714460,0.03,tmp/log1p_qinput_orig3_cache0001_0317/wiki_log1p_qinput_log1p_hitmiss0_c001_0317_200654.log
