idx,n,miss_ratio_mean,miss_ratio_std,byte_miss_ratio_mean,byte_miss_ratio_std,throughput_mqps_mean,throughput_mqps_std,config
1,1,0.252792,0.000000,0.245648,0.000000,0.010000,0.000000,LOH_DEBUG_LEVEL=0 LOH_RL_ALGO=SAC LOH_SCORE_MODEL=linear LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.3 LOH_ACTION_SCALE=0.5 RL_UPDATE_INTERVAL=200 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0 LOH_SCORE_USE_COMPOUND=1 LOH_SCORE_USE_IRT=1
2,1,0.273809,0.000000,0.243852,0.000000,0.010000,0.000000,LOH_DEBUG_LEVEL=0 LOH_RL_ALGO=SAC LOH_SCORE_MODEL=linear LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.3 LOH_ACTION_SCALE=0.5 RL_UPDATE_INTERVAL=200 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=1
3,1,0.237896,0.000000,0.229392,0.000000,0.010000,0.000000,LOH_DEBUG_LEVEL=0 LOH_RL_ALGO=SAC LOH_SCORE_MODEL=linear LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.3 LOH_ACTION_SCALE=0.5 RL_UPDATE_INTERVAL=200 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0
