# Algorithm Parameter ElapsedTime(s) AvgCPU_Monitor(%) MaxCPU_Monitor(%) CumulativeCPU_Monitor(%*s)
LRU 0.01 7.431694705 96.74 155.00 541.72
LRU 0.1 7.447461112 103.40 180.00 579.04
LHD 0.01 12.332946680 88.09 103.00 810.44
LHD 0.1 13.511720557 95.27 127.00 971.74
GDSF 0.01 21.448884294 99.82 160.00 1597.12
GDSF 0.1 32.591244613 101.47 182.00 2455.62
ARC 0.01 7.452883079 103.23 187.00 578.08
ARC 0.1 7.630348037 86.63 104.00 502.44
SIEVE 0.01 6.915359591 83.76 101.00 435.56
SIEVE 0.1 7.198888119 97.30 159.00 525.44
S3FIFO 0.01 11.489419264 85.17 98.40 732.42
S3FIFO 0.1 11.466517813 89.53 103.00 770.00
wtinylfu 0.01 30.526873073 94.17 105.00 2109.38
wtinylfu 0.1 31.841802498 95.75 107.00 2240.48
lecar 0.01 9.318039816 89.20 107.00 624.40
lecar 0.1 9.896546042 94.05 133.00 695.98
cacheus 0.01 22.844279904 94.43 105.00 1605.26
cacheus 0.1 22.835850937 102.05 182.00 1734.82
glcache 0.01 9.859473282 100.07 159.00 740.52
glcache 0.1 9.309508980 95.11 133.00 665.80
3lcache 0.01 27.915894226 100.73 157.00 2095.14
3lcache 0.1 24.509505764 99.04 155.00 1802.52
