# Algorithm Parameter MissRatio ByteMissRatio Throughput(MQPS)
LRU 0.01 0.1880 0.3989 5.13
LRU 0.1 0.0941 0.1657 4.84
LHD 0.01 0.1375 0.3333 2.45
LHD 0.1 0.0878 0.1342 2.12
GDSF 0.01 0.1798 0.3906 1.21
GDSF 0.1 0.0831 0.1083 0.76
ARC 0.01 0.1837 0.4007 4.83
ARC 0.1 0.1144 0.1477 4.59
SIEVE 0.01 0.1969 0.4051 5.40
SIEVE 0.1 0.1019 0.1592 4.98
S3FIFO 0.01 0.1745 0.3870 2.74
S3FIFO 0.1 0.0958 0.1525 2.74
wtinylfu 0.01 0.2323 0.4075 1.03
wtinylfu 0.1 0.1165 0.1360 1.06
lecar 0.01 0.1793 0.3930 3.44
lecar 0.1 0.0937 0.1629 3.24
cacheus 0.01 0.1718 0.3806 1.16
cacheus 0.1 0.0926 0.1568 1.17
glcache 0.01 0.1751 0.3673 3.15
glcache 0.1 0.0908 0.1344 3.43
3lcache 0.01 0.1667 0.3757 0.90
3lcache 0.1 0.0860 0.1150 1.04
