trace,config,status,rc,mr24,imr24,mr48,imr48,mr72,imr72,mr96,imr96,final_mr,final_bmr,final_mqps,log_path
1063,lo01_hi0995,ok,0,0.1106,0.1106,0.0896,0.0637,0.0652,0.0339,0.0502,0.0112,0.025593,0.026862,0.32,tmp/1063_bound_effect_0316_w0/1063_lo01_hi0995.log
1063,lo05_hi099,ok,0,0.1174,0.1174,0.0973,0.0725,0.0711,0.0376,0.0545,0.0112,0.027245,0.028583,0.31,tmp/1063_bound_effect_0316_w0/1063_lo05_hi099.log
1063,lo01_hi099,ok,0,0.1180,0.1180,0.0971,0.0714,0.0711,0.0377,0.0548,0.0121,0.027700,0.028776,0.30,tmp/1063_bound_effect_0316_w0/1063_lo01_hi099.log
1063,lo005_hi099,ok,0,0.1235,0.1235,0.1037,0.0794,0.0787,0.0465,0.0615,0.0167,0.031255,0.031773,0.29,tmp/1063_bound_effect_0316_w0/1063_lo005_hi099.log
1063,lo01_hi095,ok,0,0.1442,0.1442,0.1274,0.1068,0.1027,0.0710,0.0829,0.0312,0.042535,0.041910,0.24,tmp/1063_bound_effect_0316_w0/1063_lo01_hi095.log
1063,lo00_hi100,ok,0,0.0987,0.0987,0.0783,0.0531,0.0568,0.0293,0.0444,0.0119,0.022993,0.024354,0.33,tmp/1063_bound_effect_0316_w0/1063_lo00_hi100.log
1063,lo01_hi100,ok,0,0.1045,0.1045,0.0865,0.0644,0.0643,0.0357,0.0502,0.0136,0.026077,0.026983,0.30,tmp/1063_bound_effect_0316_w0/1063_lo01_hi100.log
1063,lo00_hi099,ok,0,0.1136,0.1136,0.0923,0.0660,0.0680,0.0368,0.0527,0.0129,0.026760,0.028014,0.30,tmp/1063_bound_effect_0316_w0/1063_lo00_hi099.log
