# Algorithm Parameter ElapsedTime(s) AvgCPU_Monitor(%) MaxCPU_Monitor(%) CumulativeCPU_Monitor(%*s)
LRU 0.1 10.053424552 91.60 114.00 567.92
LRU 0.01 11.660597613 87.65 98.00 648.60
LHD 0.01 26.021418439 96.79 131.00 1645.42
LHD 0.1 28.218828857 98.76 149.00 1817.10
ARC 0.01 12.470066273 101.00 159.00 828.16
ARC 0.1 12.717251679 89.67 99.60 753.26
GDSF 0.01 31.594951563 96.61 111.00 1970.86
GDSF 0.1 34.519540137 94.00 100.00 2086.88
SIEVE 0.01 11.649517710 97.25 137.00 739.12
SIEVE 0.1 11.422465696 91.80 107.00 679.30
S3FIFO 0.01 16.274290056 103.03 165.00 1071.48
S3FIFO 0.1 20.504443240 91.37 98.80 1206.12
lecar 0.01 13.062211538 99.70 134.00 877.40
lecar 0.1 11.948669418 99.51 156.00 815.96
wtinylfu 0.01 35.161919356 99.47 133.00 2327.70
wtinylfu 0.1 40.302847176 96.39 105.00 2563.92
cacheus 0.01 38.263502924 96.82 112.00 2420.48
cacheus 0.1 36.295474670 96.68 109.00 2320.40
glcache 0.01 13.541024378 100.61 159.00 945.76
glcache 0.1 17.228895803 104.31 185.00 1189.18
3lcache 0.01 53.129716686 98.12 128.00 3395.00
3lcache 0.1 67.349745871 98.23 130.00 4243.38
