# Algorithm Parameter MissRatio ByteMissRatio Throughput(MQPS)
LRU 0.1 0.3241 0.4446 5.10
LRU 0.01 0.3276 0.4715 4.49
LHD 0.01 0.3240 0.4762 1.24
LHD 0.1 0.2968 0.4298 1.18
ARC 0.01 0.3310 0.4643 3.70
ARC 0.1 0.3278 0.4519 3.87
GDSF 0.01 0.3286 0.5233 1.03
GDSF 0.1 0.3195 0.4850 0.92
SIEVE 0.01 0.3275 0.4674 4.08
SIEVE 0.1 0.3250 0.4485 3.89
S3FIFO 0.01 0.3272 0.4596 2.28
S3FIFO 0.1 0.3238 0.4439 1.89
lecar 0.01 0.3275 0.4706 3.60
lecar 0.1 0.3241 0.4445 3.51
wtinylfu 0.01 0.3271 0.4600 1.24
wtinylfu 0.1 0.2997 0.4039 1.04
cacheus 0.01 0.3273 0.4596 0.86
cacheus 0.1 0.3247 0.4467 0.89
glcache 0.01 0.3262 0.5157 3.04
glcache 0.1 0.3032 0.4442 2.19
3lcache 0.01 0.3259 0.4528 0.57
3lcache 0.1 0.3095 0.4093 0.44
