# Algorithm Parameter ElapsedTime(s) AvgCPU_Monitor(%) MaxCPU_Monitor(%) CumulativeCPU_Monitor(%*s)
LRU 0.01 15.578659282 93.43 107.00 1083.82
LRU 0.1 16.660685984 92.82 106.00 1132.42
LHD 0.01 30.890167425 92.82 99.20 2079.14
LHD 0.1 30.352450509 100.99 162.00 2241.96
GDSF 0.01 37.132738351 96.01 109.00 2611.52
GDSF 0.1 39.569412928 98.81 134.00 2845.60
ARC 0.01 16.544886944 99.96 160.00 1219.52
ARC 0.1 16.648522974 100.85 161.00 1230.36
SIEVE 0.01 16.429147684 100.52 158.00 1226.40
SIEVE 0.1 15.676326241 89.18 99.40 1034.50
S3FIFO 0.01 19.918865321 92.64 104.00 1371.10
S3FIFO 0.1 19.785321680 103.11 182.00 1526.02
wtinylfu 0.01 17.508367832 100.79 160.00 1330.40
wtinylfu 0.1 41.457449158 100.78 159.00 3063.60
lecar 0.01 17.255303254 104.28 187.00 1334.80
lecar 0.1 17.722554489 94.13 126.00 1242.46
cacheus 0.01 27.796401627 95.72 108.00 1971.92
cacheus 0.1 27.834336494 92.74 99.50 1910.46
glcache 0.01 20.062393522 98.25 155.00 1454.14
glcache 0.1 18.716392749 97.11 131.00 1340.14
3lcache 0.01 39.867181365 96.56 108.00 2838.98
3lcache 0.1 40.916664425 95.78 106.00 2911.76
