# Algorithm Parameter AvgMemory_Monitor(KB) PeakMemory_Monitor(KB)
LRU 0.01 244743 309120
LRU 0.1 255922 333696
LHD 0.01 315874 409728
LHD 0.1 427661 653440
GDSF 0.01 388658 515456
GDSF 0.1 517729 879488
ARC 0.01 247940 365440
ARC 0.1 261561 399872
SIEVE 0.01 250846 365184
SIEVE 0.1 251238 396416
S3FIFO 0.01 406308 736512
S3FIFO 0.1 446564 800640
wtinylfu 0.01 328853 559360
wtinylfu 0.1 5592880 8998656
lecar 0.01 264706 383616
lecar 0.1 276695 431872
cacheus 0.01 672541 1062144
cacheus 0.1 706734 1155328
glcache 0.01 267198 339712
glcache 0.1 292352 437376
3lcache 0.01 329969 412416
3lcache 0.1 479361 661888
