# Algorithm Parameter MissRatio ByteMissRatio Throughput(MQPS)
LRU 0.01 0.4324 0.9536 3.84
LRU 0.1 0.3658 0.9216 3.09
LHD 0.01 0.3672 0.9221 0.80
LHD 0.1 0.3600 0.9133 0.80
GDSF 0.01 0.3609 0.9185 0.57
GDSF 0.1 0.3564 0.9075 0.55
ARC 0.01 0.3739 0.9230 3.34
ARC 0.1 0.3609 0.9181 3.23
SIEVE 0.01 0.3752 0.9235 3.60
SIEVE 0.1 0.3609 0.9181 3.77
S3FIFO 0.01 0.3725 0.9224 1.75
S3FIFO 0.1 0.3596 0.9057 1.77
wtinylfu 0.01 0.3753 0.9237 2.36
wtinylfu 0.1 0.3599 0.9050 0.64
lecar 0.01 0.4180 0.9462 2.51
lecar 0.1 0.3622 0.9201 2.59
cacheus 0.01 0.3720 0.9221 0.89
cacheus 0.1 0.3613 0.9182 0.91
glcache 0.01 0.3757 0.9263 1.71
glcache 0.1 0.3634 0.9188 1.93
3lcache 0.01 0.3646 0.9207 0.50
3lcache 0.1 0.3593 0.9101 0.47
