step,w0,w1,w2,w3,w4,w5,w6
76,0.21817137,0.13264433,0.15235673,0.30942193,0.05253397,0.13487168,0.0
77,0.04404977,0.29384246,0.1555369,0.07793198,0.13997915,0.28865978,0.0
78,0.32258105,0.20262264,0.2241797,0.05931019,0.05723976,0.1340666,0.0
79,0.3227375,0.11236753,0.3135584,0.11041078,0.05256508,0.08836079,0.0
80,0.07224698,0.2113981,0.15156914,0.12715678,0.12889919,0.30872983,0.0
81,0.24096131,0.2535582,0.1788005,0.09602168,0.07473672,0.15592158,0.0
82,0.14015849,0.14281456,0.22840072,0.25185332,0.10368588,0.13308711,0.0
83,0.25700927,0.2755154,0.08618558,0.15009408,0.14941019,0.08178543,0.0
84,0.07426909,0.27532688,0.15107425,0.27795476,0.08177298,0.13960202,0.0
85,0.25160223,0.07642729,0.16845013,0.08701724,0.11692404,0.2995791,0.0
86,0.19429283,0.22887199,0.07243516,0.3126286,0.11521816,0.0765533,0.0
87,0.10033828,0.08884923,0.08669318,0.08116324,0.2524849,0.3904711,0.0
88,0.27068454,0.08936071,0.2759422,0.19676663,0.07479991,0.09244595,0.0
89,0.2042286,0.11550905,0.11999975,0.33959824,0.06346964,0.15719475,0.0
90,0.08858739,0.11479022,0.31157294,0.2707982,0.06411562,0.15013567,0.0
91,0.18877919,0.15842038,0.21220522,0.172635,0.092265,0.17569532,0.0
92,0.11649794,0.19417876,0.11830097,0.19087942,0.26948792,0.11065502,0.0
93,0.12220186,0.07620736,0.11370794,0.0931382,0.17689763,0.41784692,0.0
94,0.28201234,0.11737365,0.14888646,0.09572063,0.29370388,0.06230301,0.0
95,0.16834393,0.14027993,0.28587392,0.1852004,0.11314771,0.10715415,0.0
96,0.14548965,0.10865503,0.20240451,0.0815246,0.37610185,0.08582438,0.0
97,0.12751816,0.21607801,0.10369758,0.08759426,0.2492768,0.21583524,0.0
98,0.06117054,0.3349205,0.13191606,0.26581737,0.15448043,0.05169512,0.0
99,0.07370733,0.2976742,0.13276194,0.22894812,0.05850653,0.20840186,0.0
100,0.07812034,0.27930915,0.22474253,0.0869563,0.22371659,0.10715508,0.0
101,0.11246904,0.35795864,0.20686841,0.06524853,0.12450656,0.13294888,0.0
102,0.23001681,0.05174887,0.08094394,0.15911831,0.29686305,0.18130903,0.0
103,0.06153198,0.22869092,0.22062624,0.07481099,0.18058231,0.23375748,0.0
104,0.06430463,0.16461247,0.27977145,0.05573339,0.28421345,0.15136464,0.0
105,0.10249165,0.07432542,0.43030906,0.07151423,0.18624482,0.13511486,0.0
106,0.17408447,0.16989392,0.07271527,0.15717979,0.3110455,0.11508101,0.0
107,0.10508358,0.29350373,0.10636435,0.08317477,0.17141813,0.24045543,0.0
108,0.05767315,0.06577934,0.11042797,0.2771326,0.13977244,0.3492144,0.0
109,0.20633493,0.17893243,0.16792619,0.07708906,0.2604145,0.10930292,0.0
110,0.24810436,0.13685626,0.06412541,0.23204947,0.10737421,0.21149027,0.0
111,0.17659725,0.260924,0.07263906,0.0773778,0.33800593,0.07445598,0.0
112,0.1022826,0.25709012,0.09268571,0.27874598,0.19564304,0.07355259,0.0
113,0.08403156,0.07885889,0.05386221,0.17045811,0.26810762,0.34468165,0.0
114,0.15162577,0.08445084,0.26440838,0.07999114,0.29090503,0.12861879,0.0
115,0.30712217,0.07162819,0.20250992,0.1219833,0.23159689,0.06515943,0.0
116,0.3121265,0.15218231,0.08827689,0.21479702,0.16103871,0.07157849,0.0
117,0.17141685,0.07151878,0.06100977,0.20093022,0.25221387,0.2429105,0.0
118,0.12313152,0.25093353,0.11998611,0.24839886,0.07439476,0.18315522,0.0
119,0.06186538,0.3101574,0.1938491,0.05200966,0.31385136,0.06826711,0.0
120,0.21179162,0.04500776,0.2702517,0.1166163,0.21018384,0.14614873,0.0
121,0.23076701,0.07057282,0.12575942,0.37598228,0.11451373,0.08240471,0.0
122,0.0778352,0.06220863,0.31760842,0.10030965,0.2551929,0.18684523,0.0
123,0.27142015,0.33770618,0.08215249,0.12878509,0.1021658,0.07777035,0.0
124,0.18928494,0.1211926,0.17749669,0.27769527,0.16198157,0.07234892,0.0
125,0.2816201,0.0959558,0.20231453,0.16287263,0.13033251,0.12690444,0.0
126,0.05550384,0.17020172,0.068031,0.1512472,0.29528815,0.2597281,0.0
127,0.07826702,0.2415132,0.20318477,0.10336377,0.19933753,0.17433375,0.0
128,0.10855808,0.05732221,0.23306704,0.3341077,0.1191873,0.14775772,0.0
129,0.07196432,0.12265315,0.30030012,0.07777109,0.28461847,0.1426928,0.0
130,0.35844496,0.07501381,0.09154516,0.353559,0.06020477,0.06123229,0.0
131,0.16136599,0.1130801,0.19364798,0.32115227,0.14682792,0.06392574,0.0
132,0.19678321,0.06894356,0.281771,0.1079734,0.21956296,0.12496587,0.0
133,0.16414699,0.30111566,0.0502004,0.20794179,0.1399873,0.13660789,0.0
134,0.11934175,0.2083026,0.22273526,0.1497677,0.21632577,0.08352692,0.0
135,0.07641337,0.22534819,0.12586263,0.10307083,0.15579443,0.31351066,0.0
136,0.18620749,0.12002732,0.2599769,0.13693663,0.24012464,0.056727,0.0
137,0.22768171,0.28291965,0.17158502,0.10220047,0.10729475,0.10831849,0.0
138,0.06311876,0.07359178,0.19834675,0.29397374,0.31097096,0.05999807,0.0
