trace,config,method,status,rc,mr24,imr24,mr48,imr48,mr72,imr72,mr96,imr96,final_mr,final_bmr,final_mqps,log_path
1063,sec23_v2_fixed_norm,1,failed,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tmp/unified_three_cfg_0316/1063_sec23_v2_fixed_norm.log
1063,sec23_v2_adaptive_norm,1,failed,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tmp/unified_three_cfg_0316/1063_sec23_v2_adaptive_norm.log
1063,sec23_v3_baseline,1,failed,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tmp/unified_three_cfg_0316/1063_sec23_v3_baseline.log
1063,sec23_v3_fixed_norm,1,failed,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tmp/unified_three_cfg_0316/1063_sec23_v3_fixed_norm.log
1063,sec23_v3_adaptive_norm,1,failed,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tmp/unified_three_cfg_0316/1063_sec23_v3_adaptive_norm.log
1063,sec23_v4_baseline,1,failed,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tmp/unified_three_cfg_0316/1063_sec23_v4_baseline.log
1063,sec23_v4_fixed_norm,1,failed,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tmp/unified_three_cfg_0316/1063_sec23_v4_fixed_norm.log
1063,sec23_v4_adaptive_norm,1,failed,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tmp/unified_three_cfg_0316/1063_sec23_v4_adaptive_norm.log
wiki,new_m4_cdf_like,4,failed,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tmp/unified_three_cfg_0316/wiki_new_m4_cdf_like.log
wiki,new_m5_tanh_robust,5,failed,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tmp/unified_three_cfg_0316/wiki_new_m5_tanh_robust.log
wiki,new_m6_qlog_gamma,6,failed,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tmp/unified_three_cfg_0316/wiki_new_m6_qlog_gamma.log
wiki,sec21_log1p_baseline,-,failed,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tmp/unified_three_cfg_0316/wiki_sec21_log1p_baseline.log
wiki,sec21_log1p_fixed_norm,-,failed,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tmp/unified_three_cfg_0316/wiki_sec21_log1p_fixed_norm.log
wiki,sec21_log1p_adaptive_norm,-,failed,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tmp/unified_three_cfg_0316/wiki_sec21_log1p_adaptive_norm.log
wiki,sec21_recip_baseline,-,failed,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tmp/unified_three_cfg_0316/wiki_sec21_recip_baseline.log
wiki,sec21_recip_fixed_norm,-,failed,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tmp/unified_three_cfg_0316/wiki_sec21_recip_fixed_norm.log
wiki,sec21_recip_adaptive_norm,-,failed,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tmp/unified_three_cfg_0316/wiki_sec21_recip_adaptive_norm.log
wiki,sec23_v1_baseline,1,failed,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tmp/unified_three_cfg_0316/wiki_sec23_v1_baseline.log
wiki,sec23_v1_fixed_norm,1,failed,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tmp/unified_three_cfg_0316/wiki_sec23_v1_fixed_norm.log
wiki,sec23_v1_adaptive_norm,1,failed,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tmp/unified_three_cfg_0316/wiki_sec23_v1_adaptive_norm.log
wiki,sec23_v2_baseline,1,failed,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tmp/unified_three_cfg_0316/wiki_sec23_v2_baseline.log
wiki,sec23_v2_fixed_norm,1,failed,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tmp/unified_three_cfg_0316/wiki_sec23_v2_fixed_norm.log
wiki,sec23_v2_adaptive_norm,1,failed,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tmp/unified_three_cfg_0316/wiki_sec23_v2_adaptive_norm.log
wiki,sec23_v3_baseline,1,failed,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tmp/unified_three_cfg_0316/wiki_sec23_v3_baseline.log
wiki,sec23_v3_fixed_norm,1,failed,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tmp/unified_three_cfg_0316/wiki_sec23_v3_fixed_norm.log
wiki,sec23_v3_adaptive_norm,1,failed,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tmp/unified_three_cfg_0316/wiki_sec23_v3_adaptive_norm.log
wiki,sec23_v4_baseline,1,failed,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tmp/unified_three_cfg_0316/wiki_sec23_v4_baseline.log
wiki,sec23_v4_fixed_norm,1,failed,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tmp/unified_three_cfg_0316/wiki_sec23_v4_fixed_norm.log
wiki,sec23_v4_adaptive_norm,1,failed,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tmp/unified_three_cfg_0316/wiki_sec23_v4_adaptive_norm.log
meta,sec23_v1_baseline,1,ok,0,0.3471,0.3471,0.3214,0.2964,0.3110,0.2894,0.3035,0.2812,0.269105,0.160516,0.60,tmp/unified_three_cfg_0316/meta_sec23_v1_baseline.log
meta,sec21_recip_adaptive_norm,-,ok,0,0.3471,0.3471,0.3214,0.2964,0.3110,0.2894,0.3035,0.2812,0.269108,0.158399,0.52,tmp/unified_three_cfg_0316/meta_sec21_recip_adaptive_norm.log
meta,sec23_v1_adaptive_norm,1,ok,0,0.3471,0.3471,0.3214,0.2964,0.3110,0.2894,0.3035,0.2812,0.269111,0.158419,0.43,tmp/unified_three_cfg_0316/meta_sec23_v1_adaptive_norm.log
meta,sec23_v2_baseline,1,ok,0,0.3471,0.3471,0.3214,0.2964,0.3110,0.2894,0.3035,0.2812,0.269100,0.160433,0.60,tmp/unified_three_cfg_0316/meta_sec23_v2_baseline.log
meta,sec21_recip_fixed_norm,-,ok,0,0.3471,0.3471,0.3215,0.2965,0.3111,0.2896,0.3036,0.2816,0.269799,0.160341,0.21,tmp/unified_three_cfg_0316/meta_sec21_recip_fixed_norm.log
meta,sec23_v2_adaptive_norm,1,ok,0,0.3471,0.3471,0.3214,0.2964,0.3110,0.2894,0.3035,0.2812,0.269121,0.158411,0.42,tmp/unified_three_cfg_0316/meta_sec23_v2_adaptive_norm.log
meta,sec23_v1_fixed_norm,1,ok,0,0.3471,0.3471,0.3215,0.2965,0.3111,0.2897,0.3037,0.2818,0.270009,0.160589,0.17,tmp/unified_three_cfg_0316/meta_sec23_v1_fixed_norm.log
meta,sec23_v3_baseline,1,ok,0,0.3471,0.3471,0.3214,0.2964,0.3110,0.2894,0.3035,0.2812,0.269106,0.160404,0.57,tmp/unified_three_cfg_0316/meta_sec23_v3_baseline.log
meta,sec23_v2_fixed_norm,1,ok,0,0.3471,0.3471,0.3215,0.2965,0.3111,0.2896,0.3037,0.2816,0.269944,0.160653,0.18,tmp/unified_three_cfg_0316/meta_sec23_v2_fixed_norm.log
meta,sec23_v4_baseline,1,ok,0,0.3471,0.3471,0.3214,0.2964,0.3110,0.2894,0.3035,0.2812,0.269110,0.160243,0.51,tmp/unified_three_cfg_0316/meta_sec23_v4_baseline.log
meta,sec23_v3_adaptive_norm,1,ok,0,0.3471,0.3471,0.3215,0.2965,0.3110,0.2895,0.3036,0.2814,0.269446,0.162612,0.28,tmp/unified_three_cfg_0316/meta_sec23_v3_adaptive_norm.log
meta,sec23_v4_adaptive_norm,1,ok,0,0.3471,0.3471,0.3214,0.2964,0.3110,0.2894,0.3035,0.2812,0.269115,0.158040,0.35,tmp/unified_three_cfg_0316/meta_sec23_v4_adaptive_norm.log
meta,sec23_v3_fixed_norm,1,ok,0,0.3471,0.3471,0.3216,0.2966,0.3112,0.2900,0.3041,0.2829,0.270961,0.163707,0.12,tmp/unified_three_cfg_0316/meta_sec23_v3_fixed_norm.log
meta,sec23_v4_fixed_norm,1,ok,0,0.3471,0.3471,0.3215,0.2965,0.3111,0.2897,0.3037,0.2818,0.270142,0.160248,0.13,tmp/unified_three_cfg_0316/meta_sec23_v4_fixed_norm.log
meta,new_m5_tanh_robust,5,ok,0,0.3471,0.3471,0.3216,0.2968,0.3115,0.2906,0.3046,0.2842,0.278321,0.154972,0.03,tmp/unified_three_cfg_0316/meta_new_m5_tanh_robust.log
1063,sec21_log1p_baseline,-,ok,0,0.0895,0.0895,0.0718,0.0499,0.0524,0.0274,0.0408,0.0106,0.022121,0.025267,0.35,tmp/unified_three_cfg_0316/1063_sec21_log1p_baseline.log
1063,sec21_log1p_adaptive_norm,-,ok,0,0.1193,0.1193,0.0979,0.0715,0.0714,0.0373,0.0548,0.0117,0.027733,0.028899,0.24,tmp/unified_three_cfg_0316/1063_sec21_log1p_adaptive_norm.log
1063,sec21_recip_baseline,-,ok,0,0.2170,0.2170,0.2119,0.2056,0.2079,0.2027,0.1962,0.1657,0.131368,0.125760,0.11,tmp/unified_three_cfg_0316/1063_sec21_recip_baseline.log
1063,sec21_recip_adaptive_norm,-,ok,0,0.1276,0.1276,0.1109,0.0903,0.0907,0.0648,0.0758,0.0368,0.043344,0.042105,0.18,tmp/unified_three_cfg_0316/1063_sec21_recip_adaptive_norm.log
1063,sec21_log1p_fixed_norm,-,ok,0,0.1783,0.1783,0.1720,0.1642,0.1744,0.1774,0.1735,0.1711,0.162782,0.157394,0.05,tmp/unified_three_cfg_0316/1063_sec21_log1p_fixed_norm.log
1063,sec21_recip_fixed_norm,-,ok,0,0.2182,0.2182,0.2122,0.2048,0.2058,0.1977,0.1897,0.1477,0.124537,0.118212,0.07,tmp/unified_three_cfg_0316/1063_sec21_recip_fixed_norm.log
1063,sec23_v1_baseline,1,ok,0,0.2167,0.2167,0.2115,0.2051,0.2080,0.2036,0.1971,0.1687,0.132379,0.126822,0.11,tmp/unified_three_cfg_0316/1063_sec23_v1_baseline.log
1063,sec23_v1_adaptive_norm,1,ok,0,0.1288,0.1288,0.1122,0.0918,0.0919,0.0658,0.0768,0.0374,0.043928,0.042652,0.14,tmp/unified_three_cfg_0316/1063_sec23_v1_adaptive_norm.log
1063,new_m4_cdf_like,4,ok,0,0.2294,0.2294,0.2282,0.2268,0.2432,0.2623,0.2485,0.2624,0.249835,0.213991,0.03,tmp/unified_three_cfg_0316/1063_new_m4_cdf_like.log
1063,new_m6_qlog_gamma,6,ok,0,0.2340,0.2340,0.2328,0.2314,0.2470,0.2653,0.2577,0.2853,0.264265,0.220719,0.03,tmp/unified_three_cfg_0316/1063_new_m6_qlog_gamma.log
1063,sec23_v2_baseline,1,ok,0,0.2166,0.2166,0.2110,0.2041,0.2071,0.2021,0.1957,0.1659,0.131004,0.125467,0.11,tmp/unified_three_cfg_0316/1063_sec23_v2_baseline.log
1063,sec23_v2_adaptive_norm,1,ok,0,0.1286,0.1286,0.1119,0.0914,0.0915,0.0653,0.0764,0.0371,0.043674,0.042368,0.14,tmp/unified_three_cfg_0316/1063_sec23_v2_adaptive_norm.log
1063,sec23_v1_fixed_norm,1,ok,0,0.2195,0.2195,0.2137,0.2066,0.2097,0.2046,0.1991,0.1716,0.173129,0.168250,0.04,tmp/unified_three_cfg_0316/1063_sec23_v1_fixed_norm.log
1063,sec23_v3_baseline,1,ok,0,0.2172,0.2172,0.2120,0.2055,0.2086,0.2043,0.1973,0.1678,0.132510,0.126951,0.11,tmp/unified_three_cfg_0316/1063_sec23_v3_baseline.log
1063,new_m5_tanh_robust,5,ok,0,0.2431,0.2431,0.2466,0.2510,0.2674,0.2941,0.3052,0.4038,0.335386,0.290959,0.02,tmp/unified_three_cfg_0316/1063_new_m5_tanh_robust.log
1063,sec23_v2_fixed_norm,1,ok,0,0.2187,0.2187,0.2131,0.2063,0.2078,0.2009,0.1970,0.1687,0.145024,0.140957,0.05,tmp/unified_three_cfg_0316/1063_sec23_v2_fixed_norm.log
1063,sec23_v3_adaptive_norm,1,ok,0,0.1720,0.1720,0.1630,0.1518,0.1507,0.1350,0.1318,0.0826,0.080583,0.076596,0.08,tmp/unified_three_cfg_0316/1063_sec23_v3_adaptive_norm.log
1063,sec23_v4_baseline,1,ok,0,0.2164,0.2164,0.2112,0.2048,0.2074,0.2026,0.1961,0.1665,0.132154,0.126680,0.11,tmp/unified_three_cfg_0316/1063_sec23_v4_baseline.log
1063,sec23_v4_adaptive_norm,1,ok,0,0.1261,0.1261,0.1083,0.0865,0.0871,0.0599,0.0721,0.0330,0.040885,0.039870,0.12,tmp/unified_three_cfg_0316/1063_sec23_v4_adaptive_norm.log
1063,sec23_v4_fixed_norm,1,ok,0,0.1861,0.1861,0.1670,0.1436,0.1375,0.0996,0.1140,0.0525,0.062602,0.060374,0.08,tmp/unified_three_cfg_0316/1063_sec23_v4_fixed_norm.log
1063,sec23_v3_fixed_norm,1,ok,0,0.2632,0.2632,0.2637,0.2644,0.2498,0.2320,0.2257,0.1628,0.165141,0.158438,0.04,tmp/unified_three_cfg_0316/1063_sec23_v3_fixed_norm.log
wiki,sec21_log1p_baseline,-,ok,0,NA,NA,NA,NA,NA,NA,0.2194,0.2120,0.206992,0.192426,0.06,tmp/unified_three_cfg_0316/wiki_sec21_log1p_baseline.log
wiki,new_m4_cdf_like,4,ok,0,NA,NA,NA,NA,NA,NA,0.2123,0.1915,0.183231,0.128476,0.03,tmp/unified_three_cfg_0316/wiki_new_m4_cdf_like.log
wiki,sec21_log1p_fixed_norm,-,ok,0,NA,NA,NA,NA,NA,NA,0.2020,0.1794,0.173091,0.132307,0.04,tmp/unified_three_cfg_0316/wiki_sec21_log1p_fixed_norm.log
wiki,new_m6_qlog_gamma,6,ok,0,NA,NA,NA,NA,NA,NA,0.2146,0.1952,0.185875,0.129581,0.03,tmp/unified_three_cfg_0316/wiki_new_m6_qlog_gamma.log
wiki,sec21_recip_baseline,-,ok,0,NA,NA,NA,NA,NA,NA,0.2007,0.1781,0.176338,0.139734,0.07,tmp/unified_three_cfg_0316/wiki_sec21_recip_baseline.log
wiki,new_m5_tanh_robust,5,ok,0,NA,NA,NA,NA,NA,NA,0.2221,0.2061,0.193034,0.133663,0.03,tmp/unified_three_cfg_0316/wiki_new_m5_tanh_robust.log
wiki,sec21_log1p_adaptive_norm,-,ok,0,NA,NA,NA,NA,NA,NA,0.2001,0.1823,0.171833,0.140439,0.05,tmp/unified_three_cfg_0316/wiki_sec21_log1p_adaptive_norm.log
wiki,sec21_recip_fixed_norm,-,ok,0,NA,NA,NA,NA,NA,NA,0.1994,0.1767,0.175523,0.142791,0.04,tmp/unified_three_cfg_0316/wiki_sec21_recip_fixed_norm.log
wiki,sec23_v1_baseline,1,ok,0,NA,NA,NA,NA,NA,NA,0.2007,0.1782,0.176386,0.139621,0.07,tmp/unified_three_cfg_0316/wiki_sec23_v1_baseline.log
wiki,sec23_v2_baseline,1,ok,0,NA,NA,NA,NA,NA,NA,0.2007,0.1781,0.176305,0.139659,0.07,tmp/unified_three_cfg_0316/wiki_sec23_v2_baseline.log
wiki,sec21_recip_adaptive_norm,-,ok,0,NA,NA,NA,NA,NA,NA,0.2063,0.1843,0.188753,0.213597,0.05,tmp/unified_three_cfg_0316/wiki_sec21_recip_adaptive_norm.log
wiki,sec23_v1_fixed_norm,1,ok,0,NA,NA,NA,NA,NA,NA,0.1996,0.1768,0.175880,0.142168,0.04,tmp/unified_three_cfg_0316/wiki_sec23_v1_fixed_norm.log
wiki,sec23_v1_adaptive_norm,1,ok,0,NA,NA,NA,NA,NA,NA,0.2062,0.1842,0.185838,0.204868,0.04,tmp/unified_three_cfg_0316/wiki_sec23_v1_adaptive_norm.log
wiki,sec23_v3_baseline,1,ok,0,NA,NA,NA,NA,NA,NA,0.2007,0.1782,0.176341,0.139616,0.06,tmp/unified_three_cfg_0316/wiki_sec23_v3_baseline.log
wiki,sec23_v2_adaptive_norm,1,ok,0,NA,NA,NA,NA,NA,NA,0.2062,0.1839,0.183738,0.197462,0.04,tmp/unified_three_cfg_0316/wiki_sec23_v2_adaptive_norm.log
wiki,sec23_v2_fixed_norm,1,ok,0,NA,NA,NA,NA,NA,NA,0.1995,0.1768,0.175541,0.141595,0.04,tmp/unified_three_cfg_0316/wiki_sec23_v2_fixed_norm.log
wiki,sec23_v4_baseline,1,ok,0,NA,NA,NA,NA,NA,NA,0.2008,0.1782,0.176440,0.139447,0.06,tmp/unified_three_cfg_0316/wiki_sec23_v4_baseline.log
wiki,sec23_v3_fixed_norm,1,ok,0,NA,NA,NA,NA,NA,NA,0.2014,0.1800,0.181345,0.144631,0.03,tmp/unified_three_cfg_0316/wiki_sec23_v3_fixed_norm.log
wiki,sec23_v3_adaptive_norm,1,ok,0,NA,NA,NA,NA,NA,NA,0.2097,0.1892,0.194380,0.232761,0.04,tmp/unified_three_cfg_0316/wiki_sec23_v3_adaptive_norm.log
wiki,sec23_v4_fixed_norm,1,ok,0,NA,NA,NA,NA,NA,NA,0.1985,0.1758,0.174822,0.146381,0.03,tmp/unified_three_cfg_0316/wiki_sec23_v4_fixed_norm.log
wiki,sec23_v4_adaptive_norm,1,ok,0,NA,NA,NA,NA,NA,NA,0.2040,0.1806,0.176981,0.174876,0.04,tmp/unified_three_cfg_0316/wiki_sec23_v4_adaptive_norm.log
