idx,n,miss_ratio_mean,miss_ratio_std,byte_miss_ratio_mean,byte_miss_ratio_std,throughput_mqps_mean,throughput_mqps_std,config
1,3,0.383033,0.016011,0.242300,0.005789,0.023333,0.005774,LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=TD3 LOH_USE_SOFTMAX=1 LOH_DUAL_CHANNEL=0 LOH_REWARD_MODE=absolute LOH_ACTION_BOUND=1.0 LOH_ACTION_SCALE=1.0 LOH_WEIGHT_EMA=0.0 LOH_WEIGHT_CLIP=0.0 TD3_ACTION_NOISE=0.0
2,3,0.388733,0.013323,0.247800,0.010064,0.023333,0.005774,LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=TD3 LOH_USE_SOFTMAX=0 LOH_DUAL_CHANNEL=0 LOH_REWARD_MODE=absolute LOH_ACTION_BOUND=1.0 LOH_ACTION_SCALE=1.0 LOH_WEIGHT_EMA=0.0 LOH_WEIGHT_CLIP=1.0 TD3_ACTION_NOISE=0.10
3,3,0.387933,0.001021,0.234900,0.001539,0.020000,0.000000,LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_USE_SOFTMAX=1 LOH_DUAL_CHANNEL=0 LOH_REWARD_MODE=absolute LOH_ACTION_BOUND=1.0 LOH_ACTION_SCALE=1.0 LOH_WEIGHT_EMA=0.0 LOH_WEIGHT_CLIP=0.0
4,3,0.385200,0.000436,0.235067,0.000058,0.020000,0.000000,LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_USE_SOFTMAX=0 LOH_DUAL_CHANNEL=0 LOH_REWARD_MODE=absolute LOH_ACTION_BOUND=1.0 LOH_ACTION_SCALE=1.0 LOH_WEIGHT_EMA=0.0 LOH_WEIGHT_CLIP=1.0
